# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, -0:02:53.4 0 0 0 0 0 -0:25:03.0, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1437503680, 3C279, 2015-07-21 19:07:05.491, 285.2306122, 34.4185204, -0.0542935, 0.0000000, -0.3820239, 0.0000000, counts, 9.3885164, 0.0000000, 0.1517653, 0.0000000, 1556.2845942, 0.0000000, 2.0000000, 4.9474929, 0.1459119, 801.8139497, 2.0000000, 4.5038410, 0.1603035, 755.2079969, 2.0000000, 12500.5000000, 23.0168, 8.49, 898.90, 15.00, 9.85
1437503680, 1741-038, 2015-07-21 20:40:45.113, 349.7490709, 62.7563957, 0.1556307, 0.0000000, -0.3515413, 0.0000000, counts, 13.9004215, 0.0000000, 0.1277043, 0.0000000, 1532.8778312, 0.0000000, 3.0000000, 3.8885236, 0.0609730, 790.6222933, 0.0000000, 7.1785608, 0.1195955, 744.1779591, 3.0000000, 12500.5000000, 3.8687, 8.67, 899.18, 15.00, 8.92
1437503680, 2134+004, 2015-07-21 22:02:20.043, 51.0857783, 45.5580118, -0.1421742, 0.0000000, -0.4157167, 0.0000000, counts, 2.8931020, 0.0000000, 0.1361133, 0.0000000, 1543.7437382, 0.0000000, 3.0000000, 1.3082919, 0.1349518, 794.9829117, 3.0000000, 1.5732802, 0.1605491, 748.8438829, 3.0000000, 12500.5000000, 8.7175, 8.07, 898.97, 15.00, 9.82
1437503680, 0003-066, 2015-07-21 22:20:46.075, 82.8443343, 24.0119833, -0.0657676, 0.0000000, -0.4094302, 0.0000000, counts, 1.8716243, 0.0000000, 0.1289814, 0.0000000, 1585.5140898, 0.0000000, 2.0000000, 0.9055472, 0.1409700, 815.6907964, 2.0000000, 1.0637387, 0.1290743, 769.7493627, 2.0000000, 12500.5000000, 2.4506, 8.05, 898.72, 15.00, 10.36
1437503680, 2153-699, 2015-07-21 22:27:45.397, 164.2970313, 47.1723039, 0.0328721, 0.0000000, -0.4364283, 0.0000000, counts, 2.1872663, 0.0000000, 0.1334553, 0.0000000, 1544.1748110, 0.0000000, 2.0000000, 1.1423304, 0.1332671, 794.9904737, 2.0000000, 1.1557631, 0.1533319, 749.0959946, 2.0000000, 12500.5000000, 4.6961, 8.08, 898.85, 15.00, 9.60
1437503680, 2203-188, 2015-07-21 22:34:50.217, 74.8878128, 58.3812301, -0.1539035, 0.0000000, -0.4135936, 0.0000000, counts, 1.2438947, 0.0000000, 0.1415843, 0.0000000, 1538.0808726, 0.0000000, 2.0000000, 0.5950039, 0.1666318, 792.4294086, 2.0000000, nan, nan, 745.9135401, 0.0000000, 12500.5000000, 3.3357, 8.20, 898.81, 15.00, 9.87
1437503680, CTA102, 2015-07-21 23:00:35.564, 41.2417136, 37.3065440, -0.3252716, 0.0000000, -0.3271885, 0.0000000, counts, 7.3614670, 0.0000000, 0.1326327, 0.0000000, 1555.2069204, 0.0000000, 2.0000000, 3.4090886, 0.1489094, 801.0963559, 2.0000000, 3.9628058, 0.1242600, 754.0584509, 2.0000000, 12500.5000000, 4.2098, 7.78, 898.62, 15.00, 9.68
1437503680, 0332-403, 2015-07-22 00:58:06.581, 122.3328818, 27.5787211, 0.0898531, 0.0000000, -0.4114610, 0.0000000, counts, 0.6366154, 0.0000000, 0.1439841, 0.0000000, 1565.7479698, 0.0000000, 3.0000000, 0.3837072, 0.1122348, 804.5603557, 2.0000000, 0.3726221, 0.2059875, 761.1954007, 2.0000000, 12500.5000000, 2.3796, 9.45, 898.92, 15.00, 7.00
1437503680, 1830-210, 2015-07-22 01:11:42.735, 264.9588293, 35.6588520, -0.0298752, 0.0000000, -0.4294211, 0.0000000, counts, 3.0332828, 0.0000000, 0.1167027, 0.0000000, 1551.3060094, 0.0000000, 2.0000000, 1.5011261, 0.1266660, 797.6449965, 3.0000000, 1.4854042, 0.1238516, 753.6109369, 2.0000000, 12500.5000000, 4.6283, 9.37, 898.85, 15.00, 6.49
1437503680, 1908-201, 2015-07-22 01:33:31.182, 267.8991711, 38.6211427, -0.0419796, 0.0000000, -0.4058409, 0.0000000, counts, 0.9904649, 0.0000000, 0.1235920, 0.0000000, 1545.9048796, 0.0000000, 2.0000000, 0.4240976, 0.1397678, 794.7255685, 3.0000000, 0.6623178, 0.1530365, 751.0524553, 2.0000000, 12500.5000000, 2.3588, 9.28, 898.62, 15.00, 6.62
