# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, -0:31:48.3 0 0 0 0 0 0:08:31.4, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1438000809, 0454-463, 2015-07-27 12:44:28.130, 229.8293632, 25.9976811, -0.4768539, 0.0000000, 0.0823479, 0.0000000, counts, 1.2499244, 0.0000000, 0.1321185, 0.0000000, 2836.3982317, 0.0000000, 2.0000000, 0.4672137, 0.0008202, 1473.7089159, 0.0000000, 0.6699431, 0.1506575, 1362.4117675, 2.0000000, 12500.5000000, 2.6670, 16.34, 898.49, 15.00, 4.13
1438000809, 0521-365, 2015-07-27 12:50:08.486, 241.6247994, 26.6199883, -0.4852724, 0.0000000, 0.0876270, 0.0000000, counts, 3.6570309, 0.0000000, 0.1237760, 0.0000000, 2834.8281300, 0.0000000, 2.0000000, 2.1017016, 0.1203568, 1474.5406836, 2.0000000, 1.7074219, 0.1177708, 1360.2348272, 2.0000000, 12500.5000000, 5.5701, 16.36, 898.33, 15.00, 3.67
1438000809, 0537-441, 2015-07-27 12:55:46.343, 233.9751788, 30.7351790, -0.4890689, 0.0000000, 0.0878004, 0.0000000, counts, 1.6630577, 0.0000000, 0.1527526, 0.0000000, 2819.5847197, 0.0000000, 3.0000000, 0.9106938, 0.1448450, 1467.9538270, 3.0000000, 0.8333090, 0.1442791, 1351.5331406, 3.0000000, 12500.5000000, 4.5052, 16.19, 898.21, 15.00, 4.61
1438000809, 0607-157, 2015-07-27 13:01:36.195, 266.3365877, 25.6992863, -0.4863748, 0.0000000, 0.0751180, 0.0000000, counts, 2.8048362, 0.0000000, 0.1175025, 0.0000000, 2838.9410507, 0.0000000, 3.0000000, 1.5624934, 0.0579403, 1485.4969954, 0.0000000, 1.3931449, 0.1063579, 1352.5715323, 0.0000000, 12500.5000000, 4.1687, 16.38, 898.14, 15.00, 4.03
1438000809, 0637-752, 2015-07-27 13:07:44.039, 196.4667032, 36.0654329, -0.4906491, 0.0000000, 0.0816896, 0.0000000, counts, 2.0136071, 0.0000000, 0.1275340, 0.0000000, 2803.4190241, 0.0000000, 3.0000000, 1.1208029, 0.1292741, 1471.5011169, 2.0000000, 0.9446616, 0.1418153, 1331.7122282, 3.0000000, 12500.5000000, 4.1466, 16.66, 897.90, 15.00, 4.55
1438000809, 0653-033, 2015-07-27 13:22:32.663, 281.6271683, 25.0818528, -0.4729997, 0.0000000, 0.1292054, 0.0000000, counts, 0.5509910, 0.0000000, 0.1195497, 0.0000000, 2827.4168732, 0.0000000, 4.0000000, 0.3321047, 0.0537110, 1489.8202059, 0.0000000, 0.3638872, 0.0097086, 1337.7585285, 0.0000000, 12500.5000000, 1.2475, 16.52, 897.90, 15.00, 2.55
1438000809, 0723-008, 2015-07-27 13:28:10.520, 287.6558758, 28.7090832, -0.4956008, 0.0000000, 0.0754465, 0.0000000, counts, 3.8714517, 0.0000000, 0.1263412, 0.0000000, 2811.3789195, 0.0000000, 2.0000000, 2.0713300, 0.1298745, 1479.4532568, 2.0000000, 1.8430752, 0.1235984, 1331.8754877, 2.0000000, 12500.5000000, 7.1193, 16.98, 897.86, 15.00, 3.64
1438000809, 3C273, 2015-07-27 14:13:08.879, 14.2429004, 56.4710517, -0.5729619, 0.0000000, 0.0828721, 0.0000000, counts, 12.1932469, 0.0000000, 0.1205322, 0.0000000, 2761.1880753, 0.0000000, 2.0000000, 6.7224167, 0.1205258, 1453.5822585, 2.0000000, 5.5273584, 0.1209499, 1307.5452182, 2.0000000, 12500.5000000, 20.2837, 17.04, 897.59, 15.00, 4.58
1438000809, 3C279, 2015-07-27 14:18:52.234, 29.0757738, 62.2467650, -0.6136949, 0.0000000, 0.0859362, 0.0000000, counts, 12.3376179, 0.0000000, 0.1211872, 0.0000000, 2760.6987599, 0.0000000, 2.0000000, 6.2387358, 0.1217482, 1454.8661229, 2.0000000, 6.1662875, 0.1217560, 1305.7700878, 2.0000000, 12500.5000000, 23.0168, 17.08, 897.56, 15.00, 2.72
1438000809, 1322-427, 2015-07-27 14:25:22.569, 134.7657249, 70.5757258, -0.8329880, 0.0000000, 0.0851225, 0.0000000, counts, 26.3797104, 0.0000000, 0.1445230, 0.0000000, 2758.7409660, 0.0000000, 3.0000000, 12.7168358, 0.1553493, 1452.3332031, 3.0000000, 13.2291378, 0.1452455, 1307.0328824, 3.0000000, 12500.5000000, 4.3927, 17.21, 897.52, 15.00, 4.11
1438000809, 1334-127, 2015-07-27 14:38:09.744, 48.3491367, 65.3037644, -0.6688005, 0.0000000, 0.0947079, 0.0000000, counts, 3.8108385, 0.0000000, 0.1259486, 0.0000000, 2763.7147091, 0.0000000, 2.0000000, 2.1987077, 0.1251950, 1451.6782779, 2.0000000, 1.6857211, 0.1273609, 1312.0123836, 2.0000000, 12500.5000000, 5.7386, 17.14, 897.63, 15.00, 4.11
1438000809, 1421-490, 2015-07-27 14:50:29.431, 139.8758128, 62.2806940, -0.6186082, 0.0000000, 0.0790064, 0.0000000, counts, 2.0081082, 0.0000000, 0.1169236, 0.0000000, 2767.2789679, 0.0000000, 2.0000000, 1.1244547, 0.1229565, 1450.0892627, 2.0000000, 0.9550351, 0.1162833, 1317.0004382, 2.0000000, 12500.5000000, 4.0389, 17.02, 897.78, 15.00, 3.04
1438000809, 1424-418, 2015-07-27 14:56:09.287, 125.5857594, 65.7532345, -0.6746263, 0.0000000, 0.0920314, 0.0000000, counts, 2.5677494, 0.0000000, 0.1177781, 0.0000000, 2762.0612079, 0.0000000, 2.0000000, 1.4205025, 0.1255542, 1445.3252053, 2.0000000, 1.2074115, 0.1130206, 1316.6388347, 2.0000000, 12500.5000000, 7.6519, 17.07, 897.90, 15.00, 3.72
1438000809, 1510-089, 2015-07-27 15:02:12.634, 65.3728402, 49.8098173, -0.5502821, 0.0000000, 0.0746133, 0.0000000, counts, 1.3857747, 0.0000000, 0.1346092, 0.0000000, 2770.6291657, 0.0000000, 3.0000000, 0.8776679, 0.1296123, 1448.7532725, 3.0000000, 0.6236194, 0.1152418, 1321.7261348, 2.0000000, 12500.5000000, 3.1523, 16.91, 897.94, 15.00, 5.21
1438000809, 1514-241, 2015-07-27 15:08:30.973, 87.8219235, 57.5243551, -0.6042809, 0.0000000, 0.0712434, 0.0000000, counts, 1.2201582, 0.0000000, 0.1334893, 0.0000000, 2767.9261832, 0.0000000, 2.0000000, 0.6726297, 0.0589172, 1444.7986981, 0.0000000, 0.7478395, 0.0645589, 1322.9768632, 0.0000000, 12500.5000000, 2.2972, 16.66, 897.96, 15.00, 5.10
1438000809, 1613-586, 2015-07-27 15:21:01.156, 145.4613366, 47.3192887, -0.5209694, 0.0000000, 0.0855652, 0.0000000, counts, 1.7476361, 0.0000000, 0.1151579, 0.0000000, 2785.8764115, 0.0000000, 2.0000000, 0.9968468, 0.1184855, 1449.2790314, 2.0000000, 0.8249272, 0.1177766, 1336.5246094, 2.0000000, 12500.5000000, 3.8780, 16.59, 897.97, 15.00, 4.34
1438000809, 1622-253, 2015-07-27 15:27:30.991, 95.3848349, 47.3395127, -0.5361246, 0.0000000, 0.0826397, 0.0000000, counts, 1.2712344, 0.0000000, 0.1347505, 0.0000000, 2779.8125902, 0.0000000, 2.0000000, 0.6922602, 0.1313066, 1445.0490072, 2.0000000, 0.6227815, 0.1380257, 1334.8630288, 2.0000000, 12500.5000000, 1.7979, 16.41, 897.94, 15.00, 3.17
1438000809, 1718-649, 2015-07-27 15:39:13.694, 151.4114013, 40.1308178, -0.5101015, 0.0000000, 0.0968690, 0.0000000, counts, 1.4632148, 0.0000000, 0.1163237, 0.0000000, 2788.7803739, 0.0000000, 2.0000000, 0.8356685, 0.1220713, 1447.7846340, 2.0000000, 0.6720808, 0.1157003, 1340.9353235, 2.0000000, 12500.5000000, 3.4802, 16.04, 898.00, 15.00, 3.32
1438000809, 1741-038, 2015-07-27 15:50:59.895, 78.3462245, 25.9176225, -0.4792234, 0.0000000, 0.0712722, 0.0000000, counts, 1.9062265, 0.0000000, 0.1443642, 0.0000000, 2826.6769064, 0.0000000, 2.0000000, 1.1039633, 0.1342475, 1462.9876610, 2.0000000, 0.8689661, 0.1357273, 1363.4653042, 2.0000000, 12500.5000000, 3.8687, 15.39, 897.98, 15.00, 2.55
1438000809, 1824-582, 2015-07-27 15:57:05.740, 142.2732229, 35.1094349, -0.4914037, 0.0000000, 0.0681991, 0.0000000, counts, 0.5614335, 0.0000000, 0.1396495, 0.0000000, 2810.8401852, 0.0000000, 4.0000000, 0.3427519, 0.1441329, 1451.7124929, 3.0000000, 0.3930084, 0.0519677, 1358.8288283, 0.0000000, 12500.5000000, 1.2627, 15.03, 898.04, 15.00, 2.48
1438000809, 1830-210, 2015-07-27 16:03:00.590, 100.0599081, 26.0488992, -0.4811044, 0.0000000, 0.0951514, 0.0000000, counts, 4.4031036, 0.0000000, 0.1257390, 0.0000000, 2832.9763013, 0.0000000, 2.0000000, 2.4517586, 0.1250447, 1462.4326178, 2.0000000, 1.9837050, 0.1275328, 1370.5246636, 2.0000000, 12500.5000000, 4.6283, 14.64, 898.15, 15.00, 2.15
1438000809, 0637-752, 2015-07-27 16:09:23.928, 195.2459161, 24.8419602, -0.4793523, 0.0000000, 0.0922302, 0.0000000, counts, 1.9585676, 0.0000000, 0.1323049, 0.0000000, 2839.5133434, 0.0000000, 2.0000000, 1.1182854, 0.1308836, 1464.6047782, 2.0000000, 0.8348085, 0.1534219, 1374.8470739, 2.0000000, 12500.5000000, 4.1466, 14.38, 898.14, 15.00, 2.14
1438000809, 1055+018, 2015-07-27 16:17:12.230, 297.7255963, 35.7779087, -0.5016394, 0.0000000, 0.0948248, 0.0000000, counts, 4.1459578, 0.0000000, 0.1242263, 0.0000000, 2812.5282845, 0.0000000, 2.0000000, 2.2806605, 0.1267537, 1447.3997243, 2.0000000, 1.8911197, 0.1223555, 1365.0901907, 2.0000000, 12500.5000000, 3.8175, 14.07, 898.39, 15.00, 2.06
