# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, -0:31:48.3 0 0 0 0 0 0:08:31.4, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1439562542, Hyd A, 2015-08-14 14:36:46.397, 272.6729269, 28.7813921, -0.5336049, 0.0000000, 0.1076568, 0.0000000, K, 0.1791370, 0.0000000, 1.1359392, 0.0000000, 1.4121897, 0.0000000, 5.0000000, 0.0902611, 1.1285463, 0.6721592, 5.0000000, 0.0890645, 1.1458360, 0.7398092, 5.0000000, 1279.9159921, 47.1593, 20.92, 896.70, 15.00, 5.42
1439562542, 3C 273, 2015-08-14 14:44:22.204, 329.4321814, 53.1972905, -0.5440282, 0.0000000, 0.1224184, 0.0000000, K, 0.2291562, 0.0000000, 1.1323677, 0.0000000, 1.3783846, 0.0000000, 5.0000000, 0.1170880, 1.1292678, 0.6470371, 5.0000000, 0.1125896, 1.1379771, 0.7303594, 5.0000000, 1279.9159921, 46.0097, 21.14, 896.62, 15.00, 5.19
1439562542, Vir A, 2015-08-14 14:50:51.040, 334.1674696, 43.2779684, -0.5588815, 0.0000000, 0.1149672, 0.0000000, K, 0.8673595, 0.0000000, 1.1318866, 0.0000000, 1.3658806, 0.0000000, 5.0000000, 0.4344427, 1.1239182, 0.6413463, 5.0000000, 0.4341838, 1.1399805, 0.7234263, 5.0000000, 1279.9159921, 220.2490, 21.13, 896.51, 15.00, 5.50
1439562542, PKS 1610-60, 2015-08-14 14:59:16.826, 153.0095973, 52.0138487, -0.5100229, 0.0000000, 0.1265516, 0.0000000, K, 0.2720415, 0.0000000, 1.1761926, 0.0000000, 1.5412558, 0.0000000, 5.0000000, 0.1322164, 1.1546131, 0.7335902, 5.0000000, 0.1408205, 1.2042118, 0.8069533, 5.0000000, 1279.9159921, 47.2810, 21.09, 896.41, 15.00, 5.83
1439562542, 3C 353, 2015-08-14 15:12:09.999, 66.3389090, 35.6468387, -0.5469314, 0.0000000, 0.0785873, 0.0000000, K, 0.2386286, 0.0000000, 1.1392050, 0.0000000, 1.4835979, 0.0000000, 5.0000000, 0.1170813, 1.0994981, 0.7078197, 5.0000000, 0.1223497, 1.1954684, 0.7748696, 5.0000000, 1279.9159921, 60.6886, 21.10, 896.62, 15.00, 4.81
1439562542, 3C 279, 2015-08-14 15:20:11.295, 318.9457373, 58.8753240, -0.5582917, 0.0000000, 0.1301483, 0.0000000, K, 0.0469587, 0.0000000, 1.1536722, 0.0000000, 1.3606098, 0.0000000, 5.0000000, 0.0237535, 1.1021352, 0.6420673, 5.0000000, 0.0242509, 1.2059163, 0.7178646, 5.0000000, 1279.9159921, 11.1633, 21.09, 896.78, 15.00, 5.31
1439562542, 3C 286, 2015-08-14 15:27:58.597, 347.1701007, 27.5887400, -0.5458713, 0.0000000, 0.0631648, 0.0000000, K, 0.0593717, 0.0000000, 1.1833254, 0.0000000, 1.4431884, 0.0000000, 5.0000000, 0.0279865, 1.1449018, 0.6844316, 5.0000000, 0.0313467, 1.2202290, 0.7588593, 5.0000000, 1279.9159921, 15.2899, 20.94, 896.75, 15.00, 4.60
1439562542, PKS 1814-63, 2015-08-14 15:41:13.261, 150.4042353, 42.2383983, -0.4347477, 0.0000000, 0.0890185, 0.0000000, K, 0.0651532, 0.0000000, 1.1980740, 0.0000000, 1.4353763, 0.0000000, 5.0000000, 0.0362446, 1.1752045, 0.6815416, 5.0000000, 0.0306161, 1.2859991, 0.7517683, 5.0000000, 1279.9159921, 12.2876, 20.63, 896.95, 15.00, 4.26
1439562542, PKS 1934-63, 2015-08-14 15:49:52.042, 148.9425475, 34.4810716, -0.5262293, 0.0000000, 0.1349507, 0.0000000, K, 0.0530501, 0.0000000, 1.1284361, 0.0000000, 1.4289104, 0.0000000, 5.0000000, 0.0247524, 1.1185324, 0.6794798, 5.0000000, 0.0283397, 1.2249608, 0.7486952, 5.0000000, 1279.9159921, 14.6984, 20.30, 896.99, 15.00, 3.46
1439562542, 3C 273, 2015-08-14 15:58:15.829, 306.7306270, 42.4689944, -0.5592294, 0.0000000, 0.0883499, 0.0000000, K, 0.2287498, 0.0000000, 1.1418296, 0.0000000, 1.3872972, 0.0000000, 5.0000000, 0.1133295, 1.1360468, 0.6519100, 5.0000000, 0.1159965, 1.1479417, 0.7352130, 5.0000000, 1279.9159921, 46.0097, 19.81, 896.96, 15.00, 2.42
