# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, -0:31:48.3 0 0 0 0 0 0:08:31.4, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1439562542, Hyd A, 2015-08-14 14:36:46.397, 272.6729269, 28.7813921, -0.5344919, 0.0000000, 0.0965820, 0.0000000, K, 0.1822760, 0.0000000, 1.1159768, 0.0000000, 1.4332467, 0.0000000, 5.0000000, 0.0904232, 1.1141777, 0.6825024, 5.0000000, 0.0923891, 1.1202278, 0.7503647, 5.0000000, 1284.0000000, 47.0008, 20.92, 896.70, 15.00, 5.42
1439562542, 3C 273, 2015-08-14 14:44:22.204, 329.4321814, 53.1972905, -0.5437195, 0.0000000, 0.1456189, 0.0000000, K, 0.2168086, 0.0000000, 1.1263528, 0.0000000, 1.4296908, 0.0000000, 5.0000000, 0.1155677, 1.1356481, 0.6744763, 5.0000000, 0.1053632, 1.1135114, 0.7533036, 5.0000000, 1284.0000000, 45.9240, 21.14, 896.62, 15.00, 5.19
1439562542, Vir A, 2015-08-14 14:50:51.040, 334.1674696, 43.2779684, -0.5606164, 0.0000000, 0.1259997, 0.0000000, K, 0.8725732, 0.0000000, 1.1540077, 0.0000000, 1.3983802, 0.0000000, 5.0000000, 0.4427659, 1.1474554, 0.6580245, 5.0000000, 0.4300635, 1.1607763, 0.7400631, 5.0000000, 1284.0000000, 219.6479, 21.13, 896.51, 15.00, 5.50
1439562542, PKS 1610-60, 2015-08-14 14:59:16.826, 153.0095973, 52.0138487, -0.5148165, 0.0000000, 0.1485786, 0.0000000, K, 0.2847136, 0.0000000, 1.2101795, 0.0000000, 1.6438852, 0.0000000, 5.0000000, 0.1242592, 1.1421416, 0.7737956, 5.0000000, 0.1611992, 1.3222812, 0.8685960, 5.0000000, 1284.0000000, 47.0973, 21.09, 896.41, 15.00, 5.83
1439562542, 3C 353, 2015-08-14 15:12:09.999, 66.3389090, 35.6468387, -0.5538272, 0.0000000, 0.0685548, 0.0000000, K, 0.2427733, 0.0000000, 1.1607924, 0.0000000, 1.5161969, 0.0000000, 5.0000000, 0.1170236, 1.1035428, 0.7245998, 5.0000000, 0.1273023, 1.2266303, 0.7903151, 5.0000000, 1284.0000000, 60.5359, 21.10, 896.62, 15.00, 4.81
1439562542, 3C 279, 2015-08-14 15:20:11.295, 318.9457373, 58.8753240, -0.5478991, 0.0000000, 0.1232384, 0.0000000, K, 0.0503426, 0.0000000, 1.1330725, 0.0000000, 1.3908094, 0.0000000, 5.0000000, 0.0266905, 1.0770317, 0.6619775, 5.0000000, 0.0247902, 1.2120477, 0.7331503, 5.0000000, 1284.0000000, 11.1732, 21.09, 896.78, 15.00, 5.31
1439562542, PKS 1814-63, 2015-08-14 15:41:13.261, 150.4042353, 42.2383983, -0.4390567, 0.0000000, 0.0456947, 0.0000000, K, 0.0603292, 0.0000000, 1.1702596, 0.0000000, 1.4851122, 0.0000000, 5.0000000, 0.0329164, 1.0951581, 0.7032792, 4.0000000, 0.0304676, 1.2475176, 0.7802312, 5.0000000, 1284.0000000, 12.2761, 20.63, 896.95, 15.00, 4.26
1439562542, PKS 1934-63, 2015-08-14 15:49:52.042, 148.9425475, 34.4810716, -0.5332370, 0.0000000, 0.1349496, 0.0000000, K, 0.0508432, 0.0000000, 1.1416174, 0.0000000, 1.4569700, 0.0000000, 5.0000000, 0.0243513, 1.1225972, 0.6924017, 5.0000000, 0.0274748, 1.1737080, 0.7629159, 5.0000000, 1284.0000000, 14.7077, 20.30, 896.99, 15.00, 3.46
1439562542, 3C 273, 2015-08-14 15:58:15.829, 306.7306270, 42.4689944, -0.5569497, 0.0000000, 0.0972924, 0.0000000, K, 0.2367070, 0.0000000, 1.1555127, 0.0000000, 1.4337145, 0.0000000, 5.0000000, 0.1158094, 1.1601103, 0.6751080, 5.0000000, 0.1221356, 1.1540777, 0.7582149, 5.0000000, 1284.0000000, 45.9240, 19.81, 896.96, 15.00, 2.42
1439562542, PKS 1610-60, 2015-08-14 16:13:40.437, 164.9827686, 57.8868118, -0.5044634, 0.0000000, 0.1509424, 0.0000000, K, 0.2369485, 0.0000000, 1.1302103, 0.0000000, 1.6044243, 0.0000000, 5.0000000, 0.1296214, 1.1594262, 0.7506491, 5.0000000, 0.1156672, 1.1582392, 0.8441445, 5.0000000, 1284.0000000, 47.0973, 19.34, 896.98, 15.00, 2.38
1439562542, 3C 353, 2015-08-14 16:27:50.578, 48.4723328, 49.4213757, -0.5067094, 0.0000000, 0.1085992, 0.0000000, K, 0.2410843, 0.0000000, 1.1353547, 0.0000000, 1.4613658, 0.0000000, 5.0000000, 0.1190129, 1.1144012, 0.6989088, 5.0000000, 0.1238613, 1.1982964, 0.7604780, 5.0000000, 1284.0000000, 60.5359, 18.80, 896.83, 15.00, 2.34
1439562542, PKS 2153-69, 2015-08-14 16:35:01.895, 157.2764028, 26.4169812, -0.5406597, 0.0000000, 0.1192233, 0.0000000, K, 0.1212392, 0.0000000, 1.1259369, 0.0000000, 1.4945192, 0.0000000, 5.0000000, 0.0634040, 1.1529507, 0.7072161, 5.0000000, 0.0591379, 1.1345126, 0.7852778, 5.0000000, 1284.0000000, 34.5027, 18.37, 896.85, 15.00, 2.58
1439562542, PKS 2104-25, 2015-08-14 17:10:17.500, 106.0148085, 24.6489096, -0.5507743, 0.0000000, 0.1159529, 0.0000000, K, 0.0618092, 0.0000000, 1.4519687, 0.0000000, 1.5996650, 0.0000000, 5.0000000, 0.0323214, 1.3017621, 0.7464958, 5.0000000, 0.0295994, 1.7935821, 0.8587988, 5.0000000, 1284.0000000, nan, 16.43, 896.56, 15.00, 3.17
1439562542, 3C 273, 2015-08-14 17:19:38.263, 290.3723513, 27.0542233, -0.5416512, 0.0000000, 0.1208934, 0.0000000, K, 0.2221695, 0.0000000, 1.1297948, 0.0000000, 1.4816013, 0.0000000, 5.0000000, 0.1128536, 1.1188176, 0.7023617, 5.0000000, 0.1092971, 1.1547162, 0.7790216, 5.0000000, 1284.0000000, 45.9240, 16.41, 896.48, 15.00, 3.40
1439562542, PKS 1610-60, 2015-08-14 17:26:46.582, 181.7715785, 59.7609230, -0.4333619, 0.0000000, 0.0749313, 0.0000000, K, 0.2947838, 0.0000000, 1.1993400, 0.0000000, 1.5423071, 0.0000000, 5.0000000, 0.1386777, 1.1873192, 0.7366478, 5.0000000, 0.1563439, 1.2174827, 0.8057489, 5.0000000, 1284.0000000, 47.0973, 16.45, 896.47, 15.00, 3.11
1439562542, PKS 2153-69, 2015-08-14 17:49:58.993, 156.0915425, 32.8481960, -0.5429730, 0.0000000, 0.0773398, 0.0000000, K, 0.1199586, 0.0000000, 1.1601253, 0.0000000, 1.4481569, 0.0000000, 5.0000000, 0.0625127, 1.1312005, 0.6867880, 5.0000000, 0.0587085, 1.1701819, 0.7604101, 5.0000000, 1284.0000000, 34.5027, 17.68, 896.47, 15.00, 3.95
1439562542, PKS 1814-63, 2015-08-14 18:14:06.380, 166.5532886, 55.1870786, -0.3953368, 0.0000000, 0.0158793, 0.0000000, K, 0.0670364, 0.0000000, 0.9601460, 0.0000000, 1.5108664, 0.0000000, 3.0000000, 0.0471147, 1.0998252, 0.6982171, 4.0000000, nan, nan, 0.8012145, 0.0000000, 1284.0000000, 12.2761, 17.07, 896.41, 15.00, 3.88
1439562542, PKS 2104-25, 2015-08-14 18:24:57.605, 98.5781327, 40.3432993, -0.5741306, 0.0000000, 0.0528006, 0.0000000, K, 0.0509812, 0.0000000, 1.1926024, 0.0000000, 1.4121793, 0.0000000, 5.0000000, 0.0246129, 1.2061702, 0.6641579, 5.0000000, 0.0279910, 1.2676545, 0.7459260, 5.0000000, 1284.0000000, nan, 16.62, 896.48, 15.00, 3.43
1439562542, PKS 1610-60, 2015-08-14 18:31:53.429, 196.3518467, 57.4978151, -0.4328752, 0.0000000, 0.1020316, 0.0000000, K, 0.2775448, 0.0000000, 1.2055044, 0.0000000, 1.5744868, 0.0000000, 5.0000000, 0.1353094, 1.2068749, 0.7549855, 5.0000000, 0.1471741, 1.2348967, 0.8145239, 5.0000000, 1284.0000000, 47.0973, 16.67, 896.46, 15.00, 3.48
1439562542, PKS 2153-69, 2015-08-14 18:55:22.333, 156.9908735, 38.4902340, -0.5436453, 0.0000000, 0.0978319, 0.0000000, K, 0.1076497, 0.0000000, 1.1002661, 0.0000000, 1.4476363, 0.0000000, 4.0000000, 0.0584916, 1.1467374, 0.6824034, 5.0000000, 0.0491715, 1.1143937, 0.7643436, 4.0000000, 1284.0000000, 34.5027, 16.04, 896.29, 15.00, 3.87
1439562542, PKS 2104-25, 2015-08-14 19:40:11.695, 90.2951691, 56.4810185, -0.6406187, 0.0000000, 0.0899501, 0.0000000, K, 0.0502679, 0.0000000, 1.2833599, 0.0000000, 1.3764600, 0.0000000, 5.0000000, 0.0281093, 1.2389233, 0.6499251, 5.0000000, 0.0237958, 1.2561295, 0.7256474, 4.0000000, 1284.0000000, nan, 15.87, 896.38, 15.00, 3.81
1439562542, PKS 1610-60, 2015-08-14 19:47:26.011, 207.8773401, 51.2368496, -0.4790339, 0.0000000, 0.0836150, 0.0000000, K, 0.2687877, 0.0000000, 1.2148431, 0.0000000, 1.5725700, 0.0000000, 5.0000000, 0.1340824, 1.2281214, 0.7521035, 5.0000000, 0.1376631, 1.2290708, 0.8163772, 5.0000000, 1284.0000000, 47.0973, 15.98, 896.31, 15.00, 3.52
1439562542, PKS 2153-69, 2015-08-14 20:11:48.893, 160.8221589, 44.4857069, -0.5135204, 0.0000000, 0.0992507, 0.0000000, K, 0.1065662, 0.0000000, 1.1061682, 0.0000000, 1.4589891, 0.0000000, 5.0000000, 0.0584830, 1.1574813, 0.6843866, 5.0000000, 0.0518268, 1.1677481, 0.7704429, 4.0000000, 1284.0000000, 34.5027, 16.27, 896.04, 15.00, 3.52
