# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, 0:48:12.7 0 0:01:31.4 0:02:59.6 0:00:02.5 -0:00:14.1 -0:04:36.4 -0:01:57.1, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1440013320, PKS 1610-60, 2015-08-19 19:54:32.633, 210.4171323, 48.4230813, -0.3108519, 0.0000000, 0.0117478, 0.0000000, K, 0.2782380, 0.0000000, 1.1842394, 0.0000000, 1.6294057, 0.0000000, 4.0000000, 0.1460388, 1.2379421, 0.7862941, 4.0000000, 0.1350090, 1.1678413, 0.8390687, 4.0000000, 1284.0000000, 47.0973, 14.31, 895.77, 15.00, 9.79
1440013320, 3C 353, 2015-08-19 20:09:55.242, 308.9136648, 47.9194211, -0.3420545, 0.0000000, 0.0663839, 0.0000000, K, 0.2611737, 0.0000000, 1.1253351, 0.0000000, 1.4813984, 0.0000000, 4.0000000, 0.1894497, 1.4693046, 0.7012753, 0.0000000, 0.1288584, 1.1742818, 0.7778967, 4.0000000, 1284.0000000, 60.5359, 13.93, 895.97, 15.00, 7.89
1440013320, PKS 2153-69, 2015-08-19 20:18:55.514, 162.9494759, 46.2810056, -0.3013682, 0.0000000, 0.0687792, 0.0000000, K, 0.1130184, 0.0000000, 1.0938978, 0.0000000, 1.5000192, 0.0000000, 4.0000000, 0.0581447, 1.0694548, 0.7013461, 4.0000000, 0.0560872, 1.1617827, 0.7907324, 5.0000000, 1284.0000000, 34.5027, 13.77, 896.08, 15.00, 7.22
1440013320, PKS 1814-63, 2015-08-19 20:35:34.091, 197.0105638, 53.9566620, -0.4219943, 0.0000000, 0.1382043, 0.0000000, K, 0.0594685, 0.0000000, 1.1969117, 0.0000000, 1.4540228, 0.0000000, 2.0000000, 0.0249115, 1.1586400, 0.6949815, 2.0000000, 0.0510561, 1.5343677, 0.7618482, 0.0000000, 1284.0000000, 12.2761, 13.68, 896.03, 15.00, 7.81
1440013320, PKS 0410-75, 2015-08-19 21:10:08.214, 165.2811249, 23.5742762, -0.2928398, 0.0000000, 0.1130621, 0.0000000, K, 0.0572204, 0.0000000, 1.1896618, 0.0000000, 1.4885333, 0.0000000, 4.0000000, 0.0280159, 1.1769604, 0.7134615, 4.0000000, 0.0298992, 1.2273993, 0.7743221, 4.0000000, 1284.0000000, 15.6137, 13.39, 896.12, 15.00, 6.50
1440013320, 3C 454.3, 2015-08-19 21:17:03.538, 40.6988843, 32.1905972, -0.3398722, 0.0000000, 0.0399794, 0.0000000, K, 0.0728221, 0.0000000, 1.1943753, 0.0000000, 1.4873763, 0.0000000, 4.0000000, 0.0428324, 1.1959693, 0.7200314, 4.0000000, 0.0519318, 1.4020590, 0.7717432, 0.0000000, 1284.0000000, 10.1409, 13.33, 896.16, 15.00, 7.38
1440013320, PKS 1610-60, 2015-08-19 21:25:07.833, 214.3048487, 37.8295440, -0.3548473, 0.0000000, 0.0192149, 0.0000000, K, 0.2519830, 0.0000000, 1.1548235, 0.0000000, 1.6459815, 0.0000000, 5.0000000, 0.1311302, 1.1753894, 0.7977788, 5.0000000, 0.1250757, 1.1371350, 0.8440301, 4.0000000, 1284.0000000, 47.0973, 13.40, 895.89, 15.00, 7.81
1440013320, PKS 0410-75, 2015-08-19 22:01:09.918, 163.6816586, 26.5214071, -0.3257257, 0.0000000, 0.0680085, 0.0000000, K, 0.0611599, 0.0000000, 1.2079955, 0.0000000, 1.4652420, 0.0000000, 5.0000000, 0.0292350, 1.2520235, 0.7029308, 3.0000000, 0.0343764, 1.2361861, 0.7595550, 5.0000000, 1284.0000000, 15.6137, 12.88, 895.94, 15.00, 8.50
1440013320, PKS 0408-65, 2015-08-19 22:05:56.297, 153.9255939, 23.4095249, -0.5224798, 0.0000000, 0.1421602, 0.0000000, K, 0.0865549, 0.0000000, 1.4353882, 0.0000000, 1.4822102, 0.0000000, 0.0000000, 0.0449412, 1.4401957, 0.7169913, 0.0000000, 0.0438527, 1.4499640, 0.7649386, 0.0000000, 1284.0000000, 14.7187, 12.74, 895.94, 15.00, 8.35
1440013320, 3C 358, 2015-08-19 22:12:59.118, 264.6586561, 36.2238402, -0.2159417, 0.0000000, 0.2715918, 0.0000000, K, 0.0628769, 0.0000000, 1.2567167, 0.0000000, 1.6664342, 0.0000000, 3.0000000, 0.0326841, 1.3412555, 0.8028418, 3.0000000, 0.0300171, 1.3670624, 0.8646714, 3.0000000, 1284.0000000, 18.1386, 12.54, 896.02, 15.00, 7.06
