# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, 0:48:12.7 0 0:01:31.4 0:02:59.6 0:00:02.5 -0:00:14.1 -0:04:36.4 -0:01:57.1, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1440063241, For A, 2015-08-20 09:39:27.497, 238.9890840, 22.4669490, -0.1964121, 0.0000000, 0.0112953, 0.0000000, K, 0.4675437, 0.0000000, 1.1753977, 0.0000000, 1.4768489, 0.0000000, 5.0000000, 0.2325884, 1.1769094, 0.7096579, 5.0000000, 0.2366885, 1.1689414, 0.7659088, 5.0000000, 1284.0000000, 125.0259, 17.11, 898.36, 15.00, 0.40
1440063241, Pic A, 2015-08-20 09:43:39.391, 234.2493972, 44.7750865, -0.2009136, 0.0000000, 0.0350300, 0.0000000, K, 0.2687847, 0.0000000, 1.1442403, 0.0000000, 1.3409049, 0.0000000, 5.0000000, 0.1331100, 1.1444633, 0.6399930, 5.0000000, 0.1377314, 1.1569651, 0.6986618, 5.0000000, 1284.0000000, 73.3810, 17.53, 898.39, 15.00, 1.13
1440063241, Ori A, 2015-08-20 09:52:16.672, 285.2352840, 33.5317424, -0.2150528, 0.0000000, 0.0628677, 0.0000000, K, 1.4928347, 0.0000000, 1.1188271, 0.0000000, 1.4511998, 0.0000000, 4.0000000, 0.7596154, 1.1125492, 0.6910289, 4.0000000, 0.7334579, 1.1279681, 0.7597776, 4.0000000, 1284.0000000, 354.3196, 16.82, 898.44, 15.00, 1.35
1440063241, Hyd A, 2015-08-20 09:58:47.507, 0.4733644, 71.4338210, -0.0147581, 0.0000000, 0.0856590, 0.0000000, K, 0.1900249, 0.0000000, 1.0916304, 0.0000000, 1.3292536, 0.0000000, 4.0000000, 0.0964240, 1.1001206, 0.6412956, 5.0000000, 0.0944095, 1.0942533, 0.6865237, 4.0000000, 1284.0000000, 47.0008, 17.01, 898.46, 15.00, 1.15
1440063241, Vir A, 2015-08-20 10:12:29.659, 52.1093710, 29.0911972, -0.2001663, 0.0000000, 0.0660542, 0.0000000, K, 0.8509028, 0.0000000, 1.0406424, 0.0000000, 1.4997882, 0.0000000, 0.0000000, 0.4341250, 1.0442903, 0.7233729, 0.0000000, 0.4168981, 1.0371151, 0.7764051, 0.0000000, 1284.0000000, 219.6479, 17.08, 898.23, 15.00, 1.14
1440063241, PKS 0408-65, 2015-08-20 10:21:29.930, 208.3071639, 30.5613724, -0.1486815, 0.0000000, 0.0517406, 0.0000000, K, 0.0653329, 0.0000000, 0.9243531, 0.0000000, 1.3966316, 0.0000000, 0.0000000, 0.0350294, 1.0792632, 0.6697883, 4.0000000, 0.0354649, 1.0418952, 0.7268600, 0.0000000, 1284.0000000, 14.7187, 17.19, 898.14, 15.00, 1.38
1440063241, PKS 0410-75, 2015-08-20 10:26:27.304, 197.4033680, 31.0556211, -0.2028400, 0.0000000, 0.0642375, 0.0000000, K, 0.0586495, 0.0000000, 1.1942491, 0.0000000, 1.4027008, 0.0000000, 5.0000000, 0.0280375, 1.1576701, 0.6727022, 5.0000000, 0.0316738, 1.2395714, 0.7287684, 5.0000000, 1284.0000000, 15.6137, 17.61, 898.05, 15.00, 0.40
1440063241, PKS 1610-60, 2015-08-20 10:30:43.196, 148.2618781, 23.5635402, -0.2394505, 0.0000000, 0.1279785, 0.0000000, K, 0.2723432, 0.0000000, 1.1587102, 0.0000000, 1.6923117, 0.0000000, 4.0000000, 0.1357639, 1.1506282, 0.8205198, 4.0000000, 0.1369732, 1.1694770, 0.8717817, 4.0000000, 1284.0000000, 47.0973, 18.19, 898.05, 15.00, 1.92
1440063241, 3C 161, 2015-08-20 10:53:44.112, 283.1499453, 31.7824074, -0.4065052, 0.0000000, 0.0690978, 0.0000000, K, 0.0857264, 0.0000000, 1.3207760, 0.0000000, 1.4255443, 0.0000000, 0.0000000, 0.0446730, 1.3433811, 0.6809147, 0.0000000, 0.0416158, 1.2957447, 0.7444019, 0.0000000, 1284.0000000, 19.9436, 17.87, 897.57, 15.00, 1.50
1440063241, Pic A, 2015-08-20 11:09:57.200, 231.6976112, 29.8753657, -0.2135662, 0.0000000, 0.0594094, 0.0000000, K, 0.2714237, 0.0000000, 1.1226127, 0.0000000, 1.4521651, 0.0000000, 4.0000000, 0.1355829, 1.1233503, 0.6976003, 4.0000000, 0.1363345, 1.1286059, 0.7541187, 4.0000000, 1284.0000000, 73.3810, 18.73, 897.13, 15.00, 3.48
1440063241, Hyd A, 2015-08-20 11:19:36.455, 310.6022241, 63.7388746, -0.1272828, 0.0000000, 0.0596758, 0.0000000, K, 0.1796216, 0.0000000, 1.1165737, 0.0000000, 1.3344018, 0.0000000, 4.0000000, 0.0911021, 1.1307142, 0.6377950, 5.0000000, 0.0893542, 1.1208675, 0.6953914, 4.0000000, 1284.0000000, 47.0008, 18.39, 897.12, 15.00, 3.11
1440063241, 3C 273, 2015-08-20 11:27:35.253, 41.4611607, 49.1917887, -0.1809904, 0.0000000, 0.0953863, 0.0000000, K, 0.2171826, 0.0000000, 1.1915868, 0.0000000, 1.4078733, 0.0000000, 5.0000000, 0.1108664, 1.1706460, 0.6705074, 4.0000000, 0.1059403, 1.2307957, 0.7373057, 5.0000000, 1284.0000000, 45.9240, 18.85, 897.05, 15.00, 2.12
1440063241, PKS 1610-60, 2015-08-20 11:41:15.905, 145.9006544, 31.8540510, -0.2247243, 0.0000000, 0.1254612, 0.0000000, K, 0.2540123, 0.0000000, 1.1467089, 0.0000000, 1.6429248, 0.0000000, 4.0000000, 0.1267823, 1.1449402, 0.7943362, 4.0000000, 0.1277588, 1.1515315, 0.8480444, 4.0000000, 1284.0000000, 47.0973, 18.94, 896.85, 15.00, 2.09
1440063241, PKS 0410-75, 2015-08-20 11:45:33.297, 196.1370919, 26.1015252, -0.2384547, 0.0000000, 0.1125474, 0.0000000, K, 0.0564333, 0.0000000, 1.1044810, 0.0000000, 1.4570035, 0.0000000, 4.0000000, 0.0289294, 1.1136803, 0.7019302, 4.0000000, 0.0281278, 1.1167149, 0.7545912, 4.0000000, 1284.0000000, 15.6137, 19.01, 896.92, 15.00, 2.03
1440063241, Hyd A, 2015-08-20 12:01:06.402, 296.6737199, 56.2738130, -0.1379603, 0.0000000, 0.0864097, 0.0000000, K, 0.1812131, 0.0000000, 1.0980281, 0.0000000, 1.3420386, 0.0000000, 4.0000000, 0.0961521, 1.1097406, 0.6376014, 4.0000000, 0.0859496, 1.0947657, 0.7033565, 5.0000000, 1284.0000000, 47.0008, 19.41, 896.73, 15.00, 2.39
1440063241, 3C 273, 2015-08-20 12:09:03.200, 26.7458358, 54.2214017, -0.1559162, 0.0000000, 0.0708280, 0.0000000, K, 0.2190648, 0.0000000, 1.0920615, 0.0000000, 1.3883951, 0.0000000, 4.0000000, 0.1115954, 1.0960954, 0.6640200, 4.0000000, 0.1078999, 1.0914604, 0.7240325, 4.0000000, 1284.0000000, 45.9240, 19.78, 896.61, 15.00, 1.88
