# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, 0:21:49.4 0 0 0 0 0 -0:22:02.8, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1441673676, 0208-512, 2015-09-08 01:23:05.130, 173.0164508, 69.5898230, 0.8589735, 0.0000000, -0.3665358, 0.0000000, counts, 1.0927407, 0.0000000, 0.1404514, 0.0000000, 1776.2316958, 0.0000000, 3.0000000, 0.5284041, 0.1223401, 937.1673029, 3.0000000, 0.6205384, 0.1868297, 839.0484697, 2.0000000, 12500.5000000, 2.1546, 6.29, 897.03, 15.00, 2.61
1441673676, 0238-084, 2015-09-08 01:31:05.927, 23.4163747, 65.7892922, 0.4000465, 0.0000000, -0.3465759, 0.0000000, counts, 0.8682748, 0.0000000, 0.1340135, 0.0000000, 1777.4119060, 0.0000000, 2.0000000, 0.6233545, 0.1049288, 937.7562286, 2.0000000, 0.4589568, 0.1601906, 839.6505775, 2.0000000, 12500.5000000, 1.6295, 6.34, 896.99, 15.00, 3.16
1441673676, 0402-362, 2015-09-08 01:50:56.923, 110.9716066, 68.4046524, 0.6917015, 0.0000000, -0.3546905, 0.0000000, counts, 2.1712031, 0.0000000, 0.1125614, 0.0000000, 1774.1060642, 0.0000000, 2.0000000, 1.1471420, 0.1024640, 935.8612150, 2.0000000, 1.1319278, 0.1305703, 838.1841902, 2.0000000, 12500.5000000, 1.9561, 6.04, 896.97, 15.00, 2.73
1441673676, 0420-014, 2015-09-08 01:57:30.257, 47.9061580, 50.1452284, 0.2155819, 0.0000000, -0.3582999, 0.0000000, counts, 1.2129764, 0.0000000, 0.1272890, 0.0000000, 1784.8670284, 0.0000000, 3.0000000, 0.5986553, 0.1460581, 940.9857971, 3.0000000, 0.6479219, 0.2133506, 843.8183665, 2.0000000, 12500.5000000, 3.7073, 5.80, 896.97, 15.00, 2.67
1441673676, 0426-380, 2015-09-08 02:04:12.087, 114.9113348, 65.8829178, 0.6429677, 0.0000000, -0.3653439, 0.0000000, counts, 1.7862634, 0.0000000, 0.1261108, 0.0000000, 1773.9024779, 0.0000000, 2.0000000, 0.8345798, 0.1039958, 935.8098352, 2.0000000, 1.0170642, 0.1505148, 838.1131394, 2.0000000, 12500.5000000, 3.0603, 5.52, 897.01, 15.00, 2.14
1441673676, 3C123, 2015-09-08 02:17:29.749, 25.5605111, 24.4108699, 0.0560805, 0.0000000, -0.3415610, 0.0000000, counts, 2.8628046, 0.0000000, 0.1270277, 0.0000000, 1820.1575009, 0.0000000, 2.0000000, 1.5943528, 0.1192660, 959.3458421, 2.0000000, 1.3279385, 0.1308189, 860.7966856, 2.0000000, 12500.5000000, 6.0749, 5.54, 897.02, 15.00, 3.51
1441673676, 0451-282, 2015-09-08 02:24:23.574, 91.4852203, 64.5746091, 0.5859785, 0.0000000, -0.3660156, 0.0000000, counts, 1.2474610, 0.0000000, 0.1457186, 0.0000000, 1771.6231223, 0.0000000, 2.0000000, 0.6289546, 0.1394254, 934.2427982, 2.0000000, 0.6951416, 0.1702146, 837.3815745, 2.0000000, 12500.5000000, 2.1455, 5.26, 896.85, 15.00, 3.74
1441673676, 0454-463, 2015-09-08 02:30:43.413, 133.4673196, 63.2974604, 0.6469915, 0.0000000, -0.3583836, 0.0000000, counts, 1.1863548, 0.0000000, 0.1322865, 0.0000000, 1772.5812529, 0.0000000, 2.0000000, 0.6126592, 0.1214123, 935.1717168, 2.0000000, 0.7079367, 0.1802568, 837.3683160, 2.0000000, 12500.5000000, 2.6670, 4.71, 896.99, 15.00, 3.12
1441673676, 0454-234, 2015-09-08 02:37:07.751, 79.4859713, 65.0356114, 0.5588497, 0.0000000, -0.3563285, 0.0000000, counts, 2.4995648, 0.0000000, 0.1196129, 0.0000000, 1772.7210360, 0.0000000, 2.0000000, 1.2855020, 0.1118161, 935.5032011, 2.0000000, 1.3073383, 0.1216101, 837.1753502, 3.0000000, 12500.5000000, 3.2623, 5.57, 896.99, 15.00, 3.78
1441673676, 0458-020, 2015-09-08 02:43:07.599, 46.1555019, 51.8836478, 0.2529344, 0.0000000, -0.3509675, 0.0000000, counts, 1.5126655, 0.0000000, 0.1417887, 0.0000000, 1781.0905987, 0.0000000, 2.0000000, 0.9278575, 0.1637080, 939.3430347, 2.0000000, 0.7989162, 0.1293449, 841.6934011, 2.0000000, 12500.5000000, 2.0707, 5.82, 897.03, 15.00, 3.65
1441673676, 3C138, 2015-09-08 02:49:23.939, 35.4554403, 34.5976516, 0.1130171, 0.0000000, -0.3355120, 0.0000000, counts, 1.1307241, 0.0000000, 0.1173043, 0.0000000, 1797.9052739, 0.0000000, 2.0000000, 0.4979375, 0.1390580, 947.6937993, 3.0000000, 0.8013454, 0.1040259, 850.1611649, 2.0000000, 12500.5000000, nan, 5.90, 897.04, 15.00, 3.85
1441673676, 0521-365, 2015-09-08 02:56:13.766, 111.2554897, 65.6424138, 0.6563105, 0.0000000, -0.3608652, 0.0000000, counts, 3.4399394, 0.0000000, 0.1195635, 0.0000000, 1773.2190668, 0.0000000, 3.0000000, 1.8790557, 0.1107915, 935.1368244, 2.0000000, 1.8481497, 0.1099997, 838.0510066, 2.0000000, 12500.5000000, 5.5701, 5.62, 897.10, 15.00, 4.22
1441673676, 0537-441, 2015-09-08 03:02:34.605, 127.4839236, 62.2972281, 0.5842260, 0.0000000, -0.3602889, 0.0000000, counts, 2.0503726, 0.0000000, 0.1257146, 0.0000000, 1774.0197917, 0.0000000, 3.0000000, 1.0026409, 0.1268524, 935.5039140, 3.0000000, 1.1333657, 0.1540051, 838.4045116, 2.0000000, 12500.5000000, 4.5052, 5.58, 896.99, 15.00, 5.00
