# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, -0:16:18.4 0 -0:10:01.7 -0:30:14.0 0:00:03.5 0:00:57.0 -0:21:53.4 0:00:29.3, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed
1442174675, 0003-066, 2015-09-13 20:09:07.547, 69.8056261, 40.8722216, 0.4711156, 0.0000000, -0.3434885, 0.0000000, counts, 1.3744791, 0.0000000, 0.1342325, 0.0000000, 1707.7557772, 0.0000000, 3.0000000, 0.8279288, 0.0993168, 911.2866061, 2.0000000, 0.7567824, 0.1316227, 796.4298659, 3.0000000, 12500.5000000, 2.4506, 22.23, 903.08, 15.00, 4.70
1442174675, 0208-512, 2015-09-13 20:27:24.083, 133.4717728, 34.3212245, 0.4717711, 0.0000000, -0.3536148, 0.0000000, counts, 0.7827456, 0.0000000, 0.1307762, 0.0000000, 1721.2291301, 0.0000000, 3.0000000, 0.4391525, 0.1454335, 918.4529293, 2.0000000, 0.3715575, 0.1398285, 802.7644179, 3.0000000, 12500.5000000, 2.1546, 22.10, 903.10, 15.00, 5.39
1442174675, 1613-586, 2015-09-13 20:40:00.763, 216.5256027, 31.3583754, 0.3637297, 0.0000000, -0.3510406, 0.0000000, counts, 1.5537147, 0.0000000, 0.1296325, 0.0000000, 1732.0145031, 0.0000000, 2.0000000, 1.0680582, 0.1464753, 925.0450446, 2.0000000, 0.5394252, 0.1350357, 806.8875818, 3.0000000, 12500.5000000, 3.8780, 22.08, 903.13, 15.00, 5.62
1442174675, 1657-261, 2015-09-13 20:46:14.605, 255.1908665, 29.3040837, 0.2754014, 0.0000000, -0.3598661, 0.0000000, counts, 0.9178621, 0.0000000, 0.1204978, 0.0000000, 1731.8039430, 0.0000000, 2.0000000, 0.5027551, 0.1008144, 924.3314136, 2.0000000, 0.4789519, 0.1286213, 807.5322917, 2.0000000, 12500.5000000, 2.2742, 22.08, 903.07, 15.00, 5.35
1442174675, 1718-649, 2015-09-13 20:52:32.445, 209.1369226, 37.7666429, 0.1264146, 0.0000000, -0.3504383, 0.0000000, counts, 1.0109045, 0.0000000, 0.1299423, 0.0000000, 1715.8447610, 0.0000000, 3.0000000, 0.5109871, 0.1482295, 916.5851601, 3.0000000, 0.6333439, 0.0992204, 799.2751760, 2.0000000, 12500.5000000, 3.4802, 21.99, 902.97, 15.00, 5.24
1442174675, 1730-130, 2015-09-13 20:59:09.277, 270.8912857, 27.8236491, 0.2373078, 0.0000000, -0.3510756, 0.0000000, counts, 1.4422437, 0.0000000, 0.1121200, 0.0000000, 1733.1531136, 0.0000000, 2.0000000, 0.7804044, 0.1086820, 924.8661850, 2.0000000, 0.7073399, 0.1212513, 808.3088896, 2.0000000, 12500.5000000, 4.4856, 21.93, 902.97, 15.00, 5.12
1442174675, 1824-582, 2015-09-13 21:32:12.438, 217.3566728, 41.6995137, 0.4221047, 0.0000000, -0.3811712, 0.0000000, counts, 0.9295358, 0.0000000, 0.1482491, 0.0000000, 1709.9680004, 0.0000000, 2.0000000, 0.3939685, 0.1349147, 912.9076365, 2.0000000, 0.5795145, 0.1278041, 796.9431412, 3.0000000, 12500.5000000, 1.2627, 21.64, 902.84, 15.00, 5.16
1442174675, 1830-210, 2015-09-13 21:38:35.776, 265.0490971, 35.8288025, 0.2888882, 0.0000000, -0.3524967, 0.0000000, counts, 3.6282080, 0.0000000, 0.1153019, 0.0000000, 1716.5436504, 0.0000000, 2.0000000, 1.8882449, 0.1119302, 916.6465096, 2.0000000, 1.7659650, 0.1203343, 799.8706773, 2.0000000, 12500.5000000, 4.6283, 21.63, 902.72, 15.00, 5.36
1442174675, 0402-362, 2015-09-13 21:46:32.074, 118.7554199, 24.5617390, -0.0114770, 0.0000000, -0.3418101, 0.0000000, counts, 1.5477817, 0.0000000, 0.1345955, 0.0000000, 1742.9895705, 0.0000000, 3.0000000, 0.7596905, 0.1357931, 929.9097610, 3.0000000, 0.8243929, 0.1310245, 813.0523274, 3.0000000, 12500.5000000, 1.9561, 21.78, 902.77, 15.00, 5.71
1442174675, 1908-201, 2015-09-13 22:00:11.228, 268.0218959, 38.8387778, 0.2934192, 0.0000000, -0.3684388, 0.0000000, counts, 0.9508812, 0.0000000, 0.1161526, 0.0000000, 1715.4343746, 0.0000000, 2.0000000, 0.4549683, 0.1088883, 916.2753014, 2.0000000, 0.5571557, 0.1178615, 799.1839783, 2.0000000, 12500.5000000, 2.3588, 21.78, 902.76, 15.00, 5.45
