# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, 0:06:02.1 0 0:02:50.6 0:37:06.2 -0:00:21.4 -0:00:13.4 -0:25:08.3 -0:01:22.9, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1434407812, 1334-127, 2015-06-15 22:57:57.612, 270.9761440, 27.8532341, -0.5459957, 0.0009527, -0.4237753, 0.0009141, counts, 1.1921793, 0.0231034, 0.1271689, 0.0025262, 804.5716806, 0.0068418, 3, 0.6721168, 0.1298913, 391.1395898, 3, 0.6186850, 0.1112155, 413.4329084, 2, 12500.5000000, nan, 8.51, 895.15, 15.00, 2.43, 1, 0.0217708, 0.0119365, -0.0153119, -0.0016024
1434407812, J133739-125720, 2015-06-15 23:05:43.415, 269.9745924, 26.1824718, -0.5358782, 0.0010361, -0.4161999, 0.0022320, counts, 1.1672409, 0.0250297, 0.1264215, 0.0038758, 806.9979562, 0.0093283, 2, 0.6513060, 0.1400852, 392.0333825, 2, 0.5807958, 0.1206129, 414.9143714, 2, 12500.5000000, nan, 9.45, 895.15, 15.00, 2.93, 1, 0.0237009, 0.0197124, -0.0182030, 0.0060456
1434407812, 1421-490, 2015-06-15 23:21:49.007, 229.3389010, 42.3034924, -0.6472895, 0.0028477, -0.4265016, 0.0023248, counts, 0.5650905, 0.0197013, 0.1251737, 0.0037611, 793.0669659, 0.0098968, 3, 0.3157585, 0.0805386, 384.8904683, 0, 0.3087880, 0.1216808, 408.2168363, 3, 12500.5000000, nan, 6.14, 894.82, 15.00, 0.99, 1, 0.0319715, 0.0028048, 0.0197415, 0.0122255
1434407812, 1613-586, 2015-06-15 23:38:24.586, 209.9020541, 53.1727640, -0.8485480, 0.0031863, -0.4185201, 0.0033064, counts, 0.6654374, 0.0249929, 0.1146802, 0.0053823, 788.6370148, 0.0102701, 3, 0.3970763, 0.1216972, 382.8303142, 3, 0.2864867, 0.1263866, 405.7675864, 2, 12500.5000000, nan, 8.99, 894.72, 15.00, 2.42, 1, 0.0117541, 0.0072464, 0.0054950, 0.0268038
1434407812, J173302-130445, 2015-06-16 00:11:23.249, 302.2822341, 61.1961529, -1.0555911, 0.0042051, -0.4141425, 0.0024970, counts, 0.7584057, 0.0195926, 0.1178484, 0.0046704, 783.7793365, 0.0077076, 2, 0.4166451, 0.1252485, 380.9965465, 2, 0.4152803, 0.1179869, 402.7653850, 3, 12500.5000000, nan, 9.39, 894.57, 15.00, 2.50, 1, 0.0136581, 0.0159528, 0.0295561, 0.0053918
1434407812, 1830-210, 2015-06-16 00:27:20.843, 305.2873261, 74.4520133, -2.0044524, 0.0024740, -0.4239897, 0.0006371, counts, 1.6791684, 0.0274065, 0.1230197, 0.0015171, 784.9795816, 0.0109529, 3, 0.9115235, 0.1234752, 380.8495578, 3, 0.8195004, 0.1274565, 404.0852832, 3, 12500.5000000, nan, 9.44, 894.64, 15.00, 2.66, 1, 0.0017429, 0.0015507, 0.0138895, -0.0006211
1434407812, J191109-200655, 2015-06-16 00:35:16.142, 330.9475545, 77.9940434, -2.7377691, 0.0077856, -0.4348009, 0.0014910, counts, 0.7697937, 0.0155384, 0.1238961, 0.0023854, 785.8088719, 0.0078387, 3, 0.5039170, 0.1336795, 380.9380578, 3, 0.3263662, 0.1061764, 404.8411625, 1, 12500.5000000, nan, 9.31, 894.64, 15.00, 2.62, 1, -0.0243849, -0.0076497, -0.0219369, -0.0180466
1434407812, J000613-062338, 2015-06-16 00:43:58.421, 82.6083513, 24.3744391, -0.4474933, 0.0010605, -0.4132472, 0.0021613, counts, 0.8393491, 0.0334653, 0.1292942, 0.0081406, 809.1514274, 0.0085380, 2, 0.3756709, 0.1470331, 392.9239982, 2, 0.4961709, 0.1270137, 416.1744819, 2, 12500.5000000, nan, 8.49, 894.58, 15.00, 2.56, 1, 0.1018414, 0.0311563, 0.0324586, -0.0037747
1434407812, 1921-293, 2015-06-16 00:53:08.689, 281.8499144, 83.5683083, -4.9772664, 0.0058584, -0.4153076, 0.0008436, counts, 2.2560278, 0.0247073, 0.1321706, 0.0010468, 787.3280770, 0.0156567, 3, 1.1802549, 0.1334643, 381.3953476, 3, 1.1153634, 0.1332464, 405.8952220, 3, 12500.5000000, nan, 7.09, 894.55, 15.00, 2.01, 1, -0.0040560, 0.0038219, -0.0011392, 0.0204587
1434407812, 2128-123, 2015-06-16 01:11:57.211, 48.5843035, 63.9088086, -1.2882285, 0.0082412, -0.4439498, 0.0018543, counts, 0.5404482, 0.0177789, 0.1186748, 0.0046428, 786.8610608, 0.0155081, 3, 0.3234507, 0.1365261, 381.3185234, 3, 0.2312861, 0.1360259, 405.5086751, 3, 12500.5000000, nan, 7.11, 894.59, 15.00, 2.10, 1, -0.0331796, -0.0081262, -0.0552036, -0.0339502
