# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, -0:02:53.4 0 0 0 0 0 -0:25:03.0, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1438117396, PKS 1610-60, 2015-07-28 21:06:10.489, 209.0864749, 50.0182560, -0.0693236, 0.0000000, -0.4484812, 0.0000000, K, 0.3848019, 0.0000000, 1.1696158, 0.0000000, 1.9546470, 0.0000000, 5, 0.1903364, 1.1926991, 0.9087769, 5, 0.1985451, 1.1441817, 1.0425023, 5, 1279.9159921, 47.2810, 8.61, 892.76, 15.00, 4.11, 1, -0.0135942, -0.0309812, 0.0024786, -0.0203290
1438117396, Her A, 2015-07-28 21:12:05.839, 313.0881671, 42.5961090, -0.0200060, 0.0000000, -0.4331203, 0.0000000, K, 0.2470785, 0.0000000, 1.1249751, 0.0000000, 1.7956002, 0.0000000, 5, 0.1277645, 1.1198957, 0.8334224, 5, 0.1232797, 1.1359072, 0.9581522, 5, 1279.9159921, 52.2181, 8.60, 892.67, 15.00, 4.15, 1, 0.0207303, -0.0156203, 0.0391444, -0.0049681
1438117396, 3C 353, 2015-07-28 21:18:16.682, 314.2858271, 50.8610311, 0.0000231, 0.0000000, -0.4271304, 0.0000000, K, 0.3035292, 0.0000000, 1.1354937, 0.0000000, 1.7774673, 0.0000000, 5, 0.1507109, 1.1572706, 0.8248863, 5, 0.1531856, 1.1317593, 0.9519148, 5, 1279.9159921, 60.6886, 9.18, 892.74, 15.00, 4.95, 1, 0.0304175, -0.0096304, 0.0462067, 0.0010218
1438117396, PKS 2153-69, 2015-07-28 21:25:07.008, 161.2924994, 44.9271899, 0.0648106, 0.0000000, -0.4450475, 0.0000000, K, 0.1885460, 0.0000000, 1.2212128, 0.0000000, 1.7131834, 0.0000000, 5, 0.0936439, 1.2328479, 0.7888013, 5, 0.1021980, 1.3017407, 0.9163503, 5, 1279.9159921, 34.5957, 9.26, 892.83, 15.00, 5.01, 1, 0.0799884, -0.0275475, 0.0976988, -0.0168953
1438117396, 3C 358, 2015-07-28 21:30:41.867, 284.0419954, 63.8130105, -0.2942615, 0.0000000, -0.5296268, 0.0000000, K, 0.0914063, 0.0000000, 1.2858133, 0.0000000, 2.0279652, 0.0000000, 4, 0.0320021, 1.0689337, 0.9554184, 4, 0.0711674, 2.1511546, 1.0977468, 5, 1279.9159921, 18.1869, 9.57, 892.88, 15.00, 5.18, 1, -0.1086022, -0.1121268, -0.0975633, -0.1014746
1438117396, PKS 1814-63, 2015-07-28 21:36:11.727, 192.7004549, 55.3896873, -0.2184342, 0.0000000, -0.4304398, 0.0000000, K, 0.0907953, 0.0000000, 1.2391564, 0.0000000, 1.7450140, 0.0000000, 5, 0.0429264, 1.1959535, 0.8075256, 5, 0.0479857, 1.2764369, 0.9374760, 5, 1279.9159921, 12.2876, 9.77, 892.93, 15.00, 5.34, 1, -0.0967106, -0.0129398, -0.0825026, -0.0022876
1438117396, 3C 409, 2015-07-28 21:49:08.898, 9.9097038, 35.0015725, -0.1125114, 0.0000000, -0.4126123, 0.0000000, K, 0.0736607, 0.0000000, 1.2655676, 0.0000000, 1.8284270, 0.0000000, 5, 0.0352600, 1.2173668, 0.8440147, 5, 0.0384820, 1.3157256, 0.9844449, 5, 1279.9159921, 14.8196, 9.68, 893.10, 15.00, 2.60, 1, -0.0527071, 0.0048877, -0.0322169, 0.0155399
1438117396, PKS 2104-25, 2015-07-28 21:54:50.754, 78.7472112, 70.9959284, 0.0661451, 0.0000000, -0.3892439, 0.0000000, K, 0.0702680, 0.0000000, 1.1770958, 0.0000000, 1.7032740, 0.0000000, 5, 0.0340402, 1.2230689, 0.7809876, 5, 0.0370780, 1.1954622, 0.9212033, 5, 1279.9159921, nan, 9.23, 893.26, 15.00, 3.31, 1, 0.0372240, 0.0282561, 0.0453695, 0.0389083
1438117396, 3C 454.3, 2015-07-28 22:05:32.482, 48.8619029, 26.4143229, -0.1116185, 0.0000000, -0.5778209, 0.0000000, K, 0.0887768, 0.0000000, 1.3131463, 0.0000000, 1.8369716, 0.0000000, 5, 0.0364474, 1.1562507, 0.8471128, 5, 0.0576137, 1.5524841, 0.9981006, 4, 1279.9159921, 10.1151, 9.42, 893.14, 15.00, 3.33, 0, -0.0568275, -0.1603209, -0.0344246, -0.1496687
1438117396, PKS 1610-60, 2015-07-28 22:11:44.825, 213.3718585, 42.6299772, 0.0303894, 0.0000000, -0.4655783, 0.0000000, K, 0.3422738, 0.0000000, 1.1670098, 0.0000000, 1.9570962, 0.0000000, 5, 0.1699077, 1.1795541, 0.9125228, 5, 0.1712504, 1.1777199, 1.0456277, 5, 1279.9159921, 47.2810, 9.69, 893.08, 15.00, 2.40, 1, 0.0577971, -0.0480783, 0.0762012, -0.0374261
1438117396, Her A, 2015-07-28 22:18:59.641, 298.1814432, 30.8610457, -0.0457322, 0.0000000, -0.4079353, 0.0000000, K, 0.2469387, 0.0000000, 1.1210460, 0.0000000, 1.8638987, 0.0000000, 5, 0.1255773, 1.1178739, 0.8713390, 5, 0.1217151, 1.1302574, 0.9924530, 5, 1279.9159921, 52.2181, 9.47, 893.16, 15.00, 1.11, 1, 0.0020898, 0.0095647, 0.0235625, 0.0202169
1438117396, 3C 353, 2015-07-28 22:25:23.478, 297.1665590, 39.0844163, -0.0385941, 0.0000000, -0.4187349, 0.0000000, K, 0.3116610, 0.0000000, 1.1673771, 0.0000000, 1.8302357, 0.0000000, 5, 0.1489110, 1.1457444, 0.8479873, 5, 0.1641943, 1.1955211, 0.9802224, 5, 1279.9159921, 60.6886, 9.34, 893.32, 15.00, 1.54, 1, 0.0074304, -0.0012349, 0.0268470, 0.0094173
1438117396, PKS 2153-69, 2015-07-28 22:32:29.798, 167.6643282, 48.8602912, 0.1152419, 0.0000000, -0.4172301, 0.0000000, K, 0.1935734, 0.0000000, 1.2501342, 0.0000000, 1.7208125, 0.0000000, 5, 0.0889963, 1.2188369, 0.7930550, 5, 0.1124512, 1.3333287, 0.9162324, 5, 1279.9159921, 34.5957, 8.92, 893.38, 15.00, 2.33, 1, 0.1075061, 0.0002699, 0.1239630, 0.0109221
1438117396, PKS 0410-75, 2015-07-28 22:36:21.700, 165.2947443, 23.5509330, 0.2603583, 0.0000000, -0.3838508, 0.0000000, K, 0.0944922, 0.0000000, 1.4269110, 0.0000000, 1.8305043, 0.0000000, 5, 0.0360566, 1.2180295, 0.8446845, 5, 0.0594028, 1.6315939, 0.9935237, 5, 1279.9159921, 15.6595, 8.41, 893.40, 15.00, 2.30, 0, 0.2828265, 0.0336492, 0.3057573, 0.0443014
1438117396, PKS 1934-63, 2015-07-28 22:52:19.295, 192.1508296, 55.6220715, -0.2793769, 0.0000000, -0.4666988, 0.0000000, K, 0.0730561, 0.0000000, 1.1154796, 0.0000000, 1.6963173, 0.0000000, 4, 0.0328747, 1.0932913, 0.7868500, 5, 0.0448657, 1.1411029, 0.9061919, 4, 1279.9159921, 14.6984, 8.61, 893.65, 15.00, 2.82, 1, -0.1305527, -0.0491988, -0.1164283, -0.0385466
