# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, 0:02:23.1 0 -0:00:46.7 0:05:09.3 0:00:14.8 -0:00:06.5 -0:25:14.2 -0:00:24.1, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1440312426, 0727-115, 2015-08-23 09:34:39.578, 305.7958747, 61.0079617, 0.4784735, 0.0000000, -0.3603353, 0.0000000, counts, 2.6831862, 0.0000000, 0.1178155, 0.0000000, 1731.3606734, 0.0000000, 2, 1.1444276, 0.1242130, 713.1126980, 2, 1.5996855, 0.1178998, 1018.2258936, 2, 12500.5000000, 5.1167, 22.87, 897.95, 15.00, 9.16, 1, 0.3119003, 0.0596514, 0.0058988, 0.0686648
1440312426, 1055+018, 2015-08-23 09:47:28.752, 41.2647723, 49.8753306, 0.4434678, 0.0000000, -0.3817614, 0.0000000, counts, 3.0601438, 0.0000000, 0.1254469, 0.0000000, 1732.2072173, 0.0000000, 2, 1.3183408, 0.1209407, 712.9914300, 2, 1.7484123, 0.1252358, 1019.2480253, 2, 12500.5000000, 3.8175, 23.79, 897.74, 15.00, 9.85, 1, 0.3529019, 0.0412646, 0.0765438, 0.0109876
1440312426, 1057-797, 2015-08-23 09:55:20.553, 174.9947058, 39.7108701, 0.3658180, 0.0000000, -0.4674821, 0.0000000, counts, 0.8629927, 0.0000000, 0.1513768, 0.0000000, 1739.4919404, 0.0000000, 0, 0.4142155, 0.0638669, 715.4860180, 0, 0.5219119, 0.1700039, 1024.5123480, 0, 12500.5000000, 2.1981, 24.04, 897.50, 15.00, 8.59, 1, 0.3459619, -0.0374681, 0.0551575, -0.0690224
1440312426, 1127-145, 2015-08-23 10:02:43.365, 66.0600597, 58.9042150, 0.3103319, 0.0000000, -0.3831409, 0.0000000, counts, 1.3071780, 0.0000000, 0.1282543, 0.0000000, 1724.1242928, 0.0000000, 2, 0.6022027, 0.1058602, 709.5817291, 2, 0.7788799, 0.1353690, 1014.4373352, 2, 12500.5000000, 3.4536, 23.69, 897.40, 15.00, 10.80, 1, 0.2329275, 0.0409097, -0.0613798, 0.0014669
1440312426, 3C273, 2015-08-23 10:14:28.567, 57.7229327, 39.0887097, 0.1509438, 0.0000000, -0.3850881, 0.0000000, counts, 8.4721667, 0.0000000, 0.1186327, 0.0000000, 1740.1526101, 0.0000000, 2, 3.5311027, 0.1158006, 715.3826075, 2, 4.9594402, 0.1210151, 1024.7520603, 2, 12500.5000000, 20.2837, 23.45, 897.27, 15.00, 10.76, 1, 0.1776018, 0.0400502, -0.0809933, 0.0018866
1440312426, 3C279, 2015-08-23 10:20:15.420, 69.9554737, 39.9753492, 0.1785406, 0.0000000, -0.3931935, 0.0000000, counts, 8.6749945, 0.0000000, 0.1183885, 0.0000000, 1740.8094702, 0.0000000, 2, 3.0961779, 0.1185378, 715.6659510, 2, 5.5356590, 0.1198387, 1025.1400692, 2, 12500.5000000, 23.0168, 23.46, 897.11, 15.00, 9.56, 1, 0.1977301, 0.0328348, -0.0656011, -0.0095420
1440312426, 1322-427, 2015-08-23 10:26:42.257, 121.8684835, 47.2868693, 0.3315819, 0.0000000, -0.3977857, 0.0000000, counts, 16.1942082, 0.0000000, 0.1534795, 0.0000000, 1735.3594502, 0.0000000, 2, 6.5113815, 0.1537756, 714.0656259, 0, 9.8847989, 0.1458887, 1021.3524267, 2, 12500.5000000, 4.3927, 23.65, 897.20, 15.00, 8.93, 1, 0.2915410, 0.0310704, -0.0046484, -0.0162047
1440312426, 1334-127, 2015-08-23 10:32:51.101, 82.6211101, 37.7707977, 0.2010623, 0.0000000, -0.3893498, 0.0000000, counts, 2.4503685, 0.0000000, 0.1260465, 0.0000000, 1745.9103071, 0.0000000, 2, 1.0153259, 0.1196343, 717.6335787, 2, 1.5385168, 0.1208174, 1028.2463736, 2, 12500.5000000, 5.7386, 23.94, 897.08, 15.00, 8.56, 1, 0.2187351, 0.0378157, -0.0427602, -0.0080861
1440312426, 1613-586, 2015-08-23 11:03:26.324, 144.2515326, 27.9682389, 0.3140831, 0.0000000, -0.3923773, 0.0000000, counts, 1.2741291, 0.0000000, 0.1497642, 0.0000000, 1754.3767102, 0.0000000, 0, 0.4237748, 0.1278789, 720.3297111, 2, 0.8037994, 0.1516078, 1034.1901382, 0, 12500.5000000, 3.8780, 24.41, 896.59, 15.00, 8.72, 1, 0.3338543, 0.0385378, 0.0850861, -0.0055283
1440312426, 1127-145, 2015-08-23 12:37:55.426, 328.6022041, 71.8766460, 0.7469948, 0.0000000, -0.4791189, 0.0000000, counts, 9.2829386, 0.0000000, 0.1179183, 0.0000000, 1670.8534592, 0.0000000, 3, 1.5139769, 0.1272289, 688.4553154, 0, 5.8426868, 0.1160990, 983.7311409, 3, 12500.5000000, 3.4536, 25.47, 895.14, 15.00, 7.74, 1, 0.3188144, -0.0608752, 0.0146236, -0.0560942
