# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, 0:21:49.4 0 0 0 0 0 -0:22:02.8, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1441292063, 3C273, 2015-09-03 15:27:17.662, 296.3995834, 33.7340354, 0.2636170, 0.0000000, -0.3632396, 0.0000000, counts, 9.2612613, 0.0000000, 0.1242170, 0.0000000, 1779.6587180, 0.0000000, 3, 4.4602998, 0.1263732, 940.1966507, 3, 4.7666054, 0.1270076, 839.4455236, 3, 12500.5000000, 20.2837, 18.52, 904.15, 15.00, 6.57, 1, -0.0832499, 0.0042048, 0.0075977, 0.0097224
1441292063, 3C279, 2015-09-03 15:33:53.494, 292.6275431, 42.6060613, 0.3053835, 0.0000000, -0.3665111, 0.0000000, counts, 8.7598661, 0.0000000, 0.1268584, 0.0000000, 1763.8400278, 0.0000000, 3, 4.7565193, 0.1259639, 932.0968552, 3, 3.9923400, 0.1300771, 831.7413994, 3, 12500.5000000, 23.0168, 18.55, 904.23, 15.00, 5.75, 1, -0.0429388, 0.0009333, 0.0161740, 0.0082353
1441292063, 1334-127, 2015-09-03 15:46:46.667, 290.0903191, 52.5025538, 0.3711825, 0.0000000, -0.3942409, 0.0000000, counts, 3.5726837, 0.0000000, 0.1288402, 0.0000000, 1756.0529677, 0.0000000, 2, 1.8279917, 0.1268934, 928.6605051, 2, 1.7535230, 0.1318647, 827.3754025, 2, 12500.5000000, 5.7386, 18.32, 904.19, 15.00, 6.86, 1, 0.0045413, -0.0267965, 0.0142176, -0.0169009
1441292063, 1421-490, 2015-09-03 15:59:33.842, 220.1198532, 62.2757955, 0.4361769, 0.0000000, -0.3872696, 0.0000000, counts, 1.5321135, 0.0000000, 0.1519956, 0.0000000, 1758.9069901, 0.0000000, 3, 0.7868025, 0.1477358, 930.6795808, 3, 0.7734983, 0.1595282, 828.0976104, 3, 12500.5000000, 4.0389, 18.07, 904.20, 15.00, 5.12, 1, 0.0337071, -0.0198252, -0.0207588, -0.0169480
1441292063, 1424-418, 2015-09-03 16:05:20.696, 235.0859315, 64.9109781, 0.5390066, 0.0000000, -0.3730827, 0.0000000, counts, 1.7085925, 0.0000000, 0.1365930, 0.0000000, 1760.6685941, 0.0000000, 2, 0.9205812, 0.1242282, 931.6196541, 2, 0.8557407, 0.1553001, 829.0954208, 3, 12500.5000000, 7.6519, 17.94, 904.28, 15.00, 5.53, 1, 0.0743251, -0.0056383, 0.0006375, 0.0005015
1441292063, 1510-089, 2015-09-03 16:12:26.516, 317.3489211, 62.3506531, 0.5154366, 0.0000000, -0.3857925, 0.0000000, counts, 1.1074609, 0.0000000, 0.1220473, 0.0000000, 1761.9961214, 0.0000000, 2, nan, nan, 932.1495132, 0, 0.4888888, 0.1962416, 830.0551059, 3, 12500.5000000, 3.1523, 17.78, 904.27, 15.00, 5.01, 1, 0.0704044, -0.0183481, 0.0212005, -0.0032492
1441292063, 1718-649, 2015-09-03 16:55:45.916, 177.4186443, 55.6459240, 0.2600755, 0.0000000, -0.3702090, 0.0000000, counts, 1.3727404, 0.0000000, 0.1283516, 0.0000000, 1765.0898907, 0.0000000, 3, 0.7941854, 0.1254612, 929.8265328, 3, 0.6497987, 0.1353186, 835.1866191, 3, 12500.5000000, 3.4802, 16.94, 904.69, 15.00, 4.99, 1, -0.0584884, -0.0027646, -0.0658330, -0.0071109
1441292063, 1830-210, 2015-09-03 17:32:13.490, 49.9747388, 75.7497708, 0.8854569, 0.0000000, -0.3650597, 0.0000000, counts, 4.0513683, 0.0000000, 0.1233491, 0.0000000, 1767.0994290, 0.0000000, 2, 2.0169010, 0.1299822, 932.8535965, 2, 2.0514418, 0.1186367, 834.2274870, 3, 12500.5000000, 4.6283, 16.27, 904.84, 15.00, 5.57, 1, 0.1284287, 0.0023847, -0.0124015, 0.0150863
1441292063, 1908-201, 2015-09-03 17:38:08.840, 63.4415291, 69.4441064, 0.5931468, 0.0000000, -0.3637505, 0.0000000, counts, 1.0144096, 0.0000000, 0.1249177, 0.0000000, 1772.4807909, 0.0000000, 3, 0.5217859, 0.1465990, 935.4297339, 2, 0.4956099, 0.1256497, 836.9879105, 3, 12500.5000000, 2.3588, 16.15, 904.80, 15.00, 5.54, 1, 0.0805558, 0.0036939, -0.0099607, 0.0118873
1441292063, 1921-293, 2015-09-03 17:49:53.542, 90.0891365, 72.6047186, 0.7654189, 0.0000000, -0.3798568, 0.0000000, counts, 3.9416287, 0.0000000, 0.1238353, 0.0000000, 1776.1412940, 0.0000000, 2, 2.0519542, 0.1129449, 938.3587794, 2, 1.9668543, 0.1364395, 837.7478104, 2, 12500.5000000, 11.4695, 15.83, 904.85, 15.00, 4.71, 1, 0.1200921, -0.0124124, 0.0037909, -0.0071311
1441292063, 2052-474, 2015-09-03 18:10:46.512, 130.5725898, 56.8551587, 0.4756707, 0.0000000, -0.3851727, 0.0000000, counts, 1.0670015, 0.0000000, 0.1264963, 0.0000000, 1794.0481518, 0.0000000, 3, 0.5468650, 0.1224353, 952.3549880, 2, 0.6240589, 0.1316641, 841.6828774, 3, 12500.5000000, 2.2623, 14.85, 904.93, 15.00, 6.26, 1, 0.0612087, -0.0177283, 0.0525347, -0.0221190
1441292063, 2131-021, 2015-09-03 18:22:56.203, 63.9305160, 39.3503395, 0.1941931, 0.0000000, -0.3774983, 0.0000000, counts, 0.9817357, 0.0000000, 0.1377598, 0.0000000, 1809.1161490, 0.0000000, 2, 0.5418247, 0.0949311, 960.9224684, 2, 0.5532695, 0.1799738, 848.3448275, 2, 12500.5000000, 2.4923, 14.56, 905.06, 15.00, 6.46, 1, -0.1310941, -0.0100539, -0.0495684, -0.0113962
1441292063, 2134+004, 2015-09-03 18:28:34.560, 60.7417944, 38.2789978, 0.1741873, 0.0000000, -0.3755509, 0.0000000, counts, 3.1903634, 0.0000000, 0.1294699, 0.0000000, 1810.3584547, 0.0000000, 3, 1.6883376, 0.1102386, 961.6494396, 2, 1.6721089, 0.1325687, 848.8271665, 3, 12500.5000000, 8.7175, 14.31, 905.15, 15.00, 7.19, 1, -0.1487856, -0.0081065, -0.0635551, -0.0091986
1441292063, 2145+067, 2015-09-03 18:34:24.912, 56.2335519, 33.0135224, 0.1580911, 0.0000000, -0.3396138, 0.0000000, counts, 1.8152680, 0.0000000, 0.1170555, 0.0000000, 1818.3478176, 0.0000000, 2, 0.8835176, 0.0903443, 965.9644818, 0, nan, nan, 852.7390593, 0, 12500.5000000, 3.9549, 14.05, 905.24, 15.00, 7.41, 1, -0.1724303, 0.0278306, -0.0717541, 0.0262639
1441292063, 2153-699, 2015-09-03 18:47:19.584, 160.4105444, 44.0548759, 0.4334429, 0.0000000, -0.3790273, 0.0000000, counts, 2.6700577, 0.0000000, 0.1175011, 0.0000000, 1805.4044942, 0.0000000, 2, 1.4293239, 0.1180240, 959.7733516, 3, 1.3108917, 0.1267366, 845.5168000, 2, 12500.5000000, 4.6961, 13.49, 905.35, 15.00, 7.53, 1, 0.0501064, -0.0115829, 0.1057660, -0.0202452
1441292063, 2203-188, 2015-09-03 18:54:06.912, 83.6009144, 48.2819465, 0.2577155, 0.0000000, -0.3565516, 0.0000000, counts, 1.4117621, 0.0000000, 0.1260793, 0.0000000, 1804.5849991, 0.0000000, 2, 0.9666510, 0.0842287, 960.1209213, 0, 11220.0930525, 4.4726788, 844.4543172, 3, 12500.5000000, 3.3357, 13.39, 905.47, 15.00, 7.13, 1, -0.0705438, 0.0108928, -0.0273381, 0.0088995
