# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, -0:21:45.6 0 0 0 0 0 0:05:37.4, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1441292063, 1057-797, 2015-09-03 15:00:01.354, 190.7764862, 34.6095725, -0.3620777, 0.0000000, 0.0812845, 0.0000000, counts, 1.0987143, 0.0000000, 0.1548571, 0.0000000, 2254.3412142, 0.0000000, 3, 0.6384788, 0.1433450, 1162.4717124, 3, 0.4864741, 0.0537032, 1091.8579963, 0, 12500.5000000, 2.1981, 18.49, 904.07, 15.00, 6.34, 1, 0.0004847, -0.0124377, -0.0033389, -0.0136747
1441292063, 1127-145, 2015-09-03 15:07:03.175, 272.8841983, 34.9691550, -0.3663729, 0.0000000, 0.0758076, 0.0000000, counts, 1.7366287, 0.0000000, 0.1126584, 0.0000000, 2257.8640438, 0.0000000, 2, 1.0681036, 0.0990472, 1164.0879700, 2, 0.7432143, 0.1660578, 1093.8214515, 2, 12500.5000000, 3.4536, 18.51, 904.05, 15.00, 6.29, 1, -0.0030371, -0.0179146, -0.0063271, -0.0182346
1441292063, J1152-0841, 2015-09-03 15:22:06.293, 280.3862869, 33.4801332, -0.2852272, 0.0000000, 0.0848543, 0.0000000, counts, 1.0268234, 0.0000000, 0.1519999, 0.0000000, 2258.6205526, 0.0000000, 3, 0.5442420, 0.1408512, 1164.4037536, 3, 0.4958151, 0.1759503, 1094.2518977, 4, 12500.5000000, 1.5393, 18.44, 904.19, 15.00, 5.28, 0, 0.0645905, -0.0088679, 0.0608194, -0.0092781
1441292063, 3C273, 2015-09-03 15:27:18.161, 296.3857318, 33.7138761, -0.3535795, 0.0000000, 0.0920656, 0.0000000, counts, 9.9448244, 0.0000000, 0.1263096, 0.0000000, 2257.9929170, 0.0000000, 3, 5.0636067, 0.1303690, 1164.3090884, 3, 4.8759512, 0.1233769, 1093.6784719, 3, 12500.5000000, 20.2837, 18.52, 904.15, 15.00, 6.57, 1, 0.0075589, -0.0016566, 0.0040045, -0.0020711
1441292063, 3C279, 2015-09-03 15:33:53.494, 292.6157679, 42.5873812, -0.3626435, 0.0000000, 0.0873043, 0.0000000, counts, 10.5522550, 0.0000000, 0.1151224, 0.0000000, 2241.5196558, 0.0000000, 2, 6.1948181, 0.1148690, 1155.4982142, 2, 4.4034157, 0.1162998, 1085.9764203, 2, 12500.5000000, 23.0168, 18.55, 904.23, 15.00, 5.75, 1, 0.0000171, -0.0064179, 0.0001611, -0.0061431
1441292063, 1334-127, 2015-09-03 15:46:47.167, 290.0772871, 52.4821434, -0.3602748, 0.0000000, 0.0885617, 0.0000000, counts, 3.3103520, 0.0000000, 0.1266878, 0.0000000, 2233.0940552, 0.0000000, 3, 1.8437583, 0.1269420, 1149.9338372, 3, 1.5050672, 0.1233971, 1083.1303504, 3, 12500.5000000, 5.7386, 18.32, 904.19, 15.00, 6.87, 1, 0.0014567, -0.0051605, 0.0068654, -0.0039773
1441292063, 1421-490, 2015-09-03 15:59:33.842, 220.1424474, 62.2689335, -0.3920279, 0.0000000, 0.0765720, 0.0000000, counts, 1.5728629, 0.0000000, 0.1245809, 0.0000000, 2235.1877612, 0.0000000, 2, 0.8535332, 0.1504532, 1149.0504501, 2, 0.5910967, 0.0528571, 1086.0250259, 0, 12500.5000000, 4.0389, 18.07, 904.20, 15.00, 5.12, 1, -0.0136624, -0.0171502, -0.0027629, -0.0154189
1441292063, 1424-418, 2015-09-03 16:05:21.196, 235.1086623, 64.8983667, -0.3936518, 0.0000000, 0.0740208, 0.0000000, counts, 2.1323292, 0.0000000, 0.1161604, 0.0000000, 2239.7324356, 0.0000000, 2, 1.0737596, 0.1211213, 1149.5222999, 2, 1.1130939, 0.1152146, 1090.2014843, 2, 12500.5000000, 7.6519, 17.94, 904.28, 15.00, 5.53, 1, -0.0131447, -0.0197014, -0.0003146, -0.0174918
1441292063, 1510-089, 2015-09-03 16:12:26.516, 317.3211905, 62.3342251, -0.3753033, 0.0000000, 0.1035418, 0.0000000, counts, 1.5774640, 0.0000000, 0.1161259, 0.0000000, 2245.3052981, 0.0000000, 3, 0.8529769, 0.1339267, 1151.0182158, 3, 0.7433741, 0.1122623, 1094.2552369, 3, 12500.5000000, 3.1523, 17.78, 904.27, 15.00, 5.01, 1, -0.0058674, 0.0098196, 0.0061873, 0.0118896
1441292063, 1514-241, 2015-09-03 16:18:23.365, 286.0921449, 72.1720312, -0.4481564, 0.0000000, 0.1052468, 0.0000000, counts, 1.1734219, 0.0000000, 0.1483247, 0.0000000, 2243.2519380, 0.0000000, 3, 0.6083249, 0.1472237, 1148.7279390, 3, 0.5785828, 0.1705116, 1094.5453829, 3, 12500.5000000, 2.2972, 17.62, 904.23, 15.00, 5.45, 1, -0.0261735, 0.0115246, -0.0073674, 0.0148625
