# antenna = m063, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -3419.58251626 -1606.01510973 2.0, -0:16:18.4 0 -0:10:01.7 -0:30:14.0 0:00:03.5 0:00:57.0 -0:21:53.4 0:00:29.3, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1442255944, 0003-066, 2015-09-14 18:51:47.090, 81.8184809, 25.5576387, 0.0945413, 0.0000000, -0.3592041, 0.0000000, counts, 2.2055105, 0.0000000, 0.1148762, 0.0000000, 2130.2338750, 0.0000000, 2, 0.9886470, 0.0060376, 1133.2610674, 0, 1.1405202, 0.1058003, 997.1204508, 2, 12500.5000000, 2.4506, 22.98, 897.65, 15.00, 1.77, 1, -0.1007497, -0.0175238, 0.0288069, 0.0016106
1442255944, 1421-490, 2015-09-14 19:05:30.742, 226.2496474, 25.9975655, 0.3080068, 0.0000000, -0.3578002, 0.0000000, counts, 1.5235637, 0.0000000, 0.1189059, 0.0000000, 2136.8175306, 0.0000000, 2, 0.8454935, 0.1195528, 1138.3035450, 2, 0.6585722, 0.1574471, 998.7829114, 3, 12500.5000000, 4.0389, 23.54, 898.12, 15.00, 0.89, 1, 0.0859998, 0.0118275, 0.0599942, 0.0030145
1442255944, 1424-418, 2015-09-14 19:11:10.098, 233.4887600, 23.2377612, 0.2836167, 0.0000000, -0.3511279, 0.0000000, counts, 1.7750024, 0.0000000, 0.1183651, 0.0000000, 2145.9275234, 0.0000000, 2, 0.9753595, 0.1261770, 1142.1792812, 2, 0.8246439, 0.1192009, 1003.7703562, 2, 12500.5000000, 7.6519, 23.80, 898.39, 15.00, 0.24, 1, 0.0689852, 0.0195311, 0.0178075, 0.0096868
1442255944, 0208-512, 2015-09-14 19:18:19.417, 136.2725875, 24.3560462, -0.0162048, 0.0000000, -0.3380633, 0.0000000, counts, 0.9537062, 0.0000000, 0.1137575, 0.0000000, 2134.8821986, 0.0000000, 2, 0.4960518, 0.1408236, 1135.9854911, 2, 0.4647130, 0.1100276, 998.8651403, 2, 12500.5000000, 2.1546, 23.68, 898.60, 15.00, 2.16, 0, -0.2071286, 0.0091136, -0.0940066, 0.0227514
1442255944, 1613-586, 2015-09-14 19:32:04.568, 216.8446409, 39.6296651, 0.1320545, 0.0000000, -0.3625300, 0.0000000, counts, 1.4086864, 0.0000000, 0.1125835, 0.0000000, 2096.6429623, 0.0000000, 2, 0.8364507, 0.1083897, 1116.7456997, 0, 0.6485348, 0.1432929, 979.8363791, 2, 12500.5000000, 3.8780, 22.26, 898.37, 15.00, 0.67, 1, -0.0939690, 0.0063073, -0.0702795, -0.0017153
1442255944, 0252-549, 2015-09-14 19:58:55.386, 140.2219805, 25.2726966, 0.0496705, 0.0000000, -0.3403830, 0.0000000, counts, 0.6280548, 0.0000000, 0.1389263, 0.0000000, 2136.4544702, 0.0000000, 3, 0.2670911, 0.2031202, 1137.6978951, 3, 0.4593385, 0.0906646, 998.7771840, 2, 12500.5000000, 2.1718, 22.13, 898.58, 15.00, 2.17, 1, -0.1473122, 0.0077072, -0.0535246, 0.0204317
1442255944, 1730-130, 2015-09-14 20:21:30.813, 275.4609828, 35.0675346, 0.2223772, 0.0000000, -0.3629719, 0.0000000, counts, 1.9494802, 0.0000000, 0.1160755, 0.0000000, 2115.1543689, 0.0000000, 2, 0.9819992, 0.1197770, 1127.9533335, 2, 0.9975227, 0.1171335, 987.1705176, 2, 12500.5000000, 4.4856, 21.71, 898.39, 15.00, 2.32, 1, -0.0019852, 0.0108689, -0.0478775, -0.0021572
1442255944, 1749+096, 2015-09-14 20:33:16.015, 298.0995629, 23.5236430, 0.2069894, 0.0000000, -0.3501267, 0.0000000, counts, 2.6793313, 0.0000000, 0.1119543, 0.0000000, 2160.8851203, 0.0000000, 2, 1.3869057, 0.1131842, 1151.6271037, 2, 1.3255618, 0.1144857, 1009.2420996, 2, 12500.5000000, 2.7947, 21.83, 898.22, 15.00, 1.96, 1, 0.0051191, 0.0207533, 0.0074717, 0.0106880
1442255944, 1830-210, 2015-09-14 20:46:45.672, 270.8827890, 46.1335911, 0.2927737, 0.0000000, -0.3534884, 0.0000000, counts, 4.6215167, 0.0000000, 0.1164356, 0.0000000, 2106.5873011, 0.0000000, 2, 2.4002329, 0.1176266, 1124.6812972, 2, 2.2472190, 0.1160645, 981.8823576, 2, 12500.5000000, 4.6283, 22.67, 898.51, 15.00, 0.70, 1, 0.0087103, 0.0215213, -0.0247232, 0.0073263
1442255944, 1908-201, 2015-09-14 20:52:33.525, 276.8151908, 52.5338431, 0.3359042, 0.0000000, -0.3770746, 0.0000000, counts, 1.7721554, 0.0000000, 0.1182923, 0.0000000, 2098.8627682, 0.0000000, 3, 0.9385734, 0.1174111, 1121.1892630, 3, 0.8741748, 0.1192366, 977.6551364, 3, 12500.5000000, 2.3588, 21.74, 898.64, 15.00, 0.38, 1, 0.0006774, -0.0015860, -0.0075904, -0.0162599
1442255944, 0332-403, 2015-09-14 21:07:15.152, 123.3641994, 24.9319977, 0.4426187, 0.0000000, -0.3359275, 0.0000000, counts, 0.7845446, 0.0000000, 0.1214107, 0.0000000, 2159.2496821, 0.0000000, 2, 0.4149803, 0.1525027, 1151.5004474, 2, 0.3807376, 0.1058622, 1007.6623750, 2, 12500.5000000, 2.3796, 22.04, 898.58, 15.00, 1.31, 0, 0.2103752, 0.0088362, 0.3647978, 0.0248872
1442255944, 1954-388, 2015-09-14 21:27:43.132, 244.9977927, 58.7104982, 0.3986659, 0.0000000, -0.3816720, 0.0000000, counts, 1.1673431, 0.0000000, 0.1314685, 0.0000000, 2101.2604450, 0.0000000, 3, 0.6102467, 0.1287227, 1122.9006626, 3, 0.6246513, 0.1114863, 978.3016226, 2, 12500.5000000, 2.3152, 20.31, 899.02, 15.00, 1.98, 1, -0.0178221, -0.0063052, -0.0154389, -0.0208573
1442255944, 2155-152, 2015-09-14 23:30:34.014, 285.7756340, 51.9041332, 0.3107738, 0.0000000, -0.3276520, 0.0000000, counts, 3.4958456, 0.0000000, 0.1305870, 0.0000000, 2161.2929039, 0.0000000, 2, 1.7484341, 0.1292760, 1153.7424205, 2, 1.7656138, 0.1326116, 1007.5264773, 2, 12500.5000000, 4.0578, 19.50, 897.26, 15.00, 8.15, 1, -0.0088079, 0.0471324, -0.0062293, 0.0331627
1442255944, 2153-699, 2015-09-14 23:37:29.838, 198.4333332, 45.1678100, 0.1143007, 0.0000000, -0.3737445, 0.0000000, counts, 2.8573158, 0.0000000, 0.1426837, 0.0000000, 2177.4740272, 0.0000000, 3, 1.6193887, 0.1443011, 1162.3782169, 3, 1.3794441, 0.1341964, 1015.0085429, 3, 12500.5000000, 4.6961, 19.34, 897.37, 15.00, 6.03, 1, -0.1235947, -0.0087205, 0.0048807, -0.0129298
1442255944, 2203-188, 2015-09-15 00:00:50.246, 276.8580843, 48.9107088, 0.2952933, 0.0000000, -0.3536926, 0.0000000, counts, 1.5717741, 0.0000000, 0.1243911, 0.0000000, 2167.3354228, 0.0000000, 2, 0.8209389, 0.1253203, 1157.6191068, 2, 0.7702472, 0.1263539, 1009.6804194, 2, 12500.5000000, 3.3357, 19.87, 896.71, 15.00, 5.79, 1, -0.0030675, 0.0213955, -0.0213225, 0.0071221
1442255944, 2223-052, 2015-09-15 00:06:42.597, 296.2708480, 44.3411792, 0.2844097, 0.0000000, -0.3670066, 0.0000000, counts, 1.6302129, 0.0000000, 0.1456526, 0.0000000, 2173.3558010, 0.0000000, 2, 0.9078738, 0.1417567, 1160.6646026, 2, 0.7731414, 0.1557345, 1012.7351761, 2, 12500.5000000, 4.3673, 20.02, 896.76, 15.00, 5.13, 1, 0.0162169, 0.0057735, 0.0209177, -0.0061919
1442255944, 3C446, 2015-09-15 00:12:16.455, 295.0602926, 43.2609985, 0.2893333, 0.0000000, -0.3656175, 0.0000000, counts, 1.7527199, 0.0000000, 0.1211794, 0.0000000, 2177.3544755, 0.0000000, 3, 0.9419736, 0.1157874, 1162.6979311, 3, 0.8774166, 0.1114817, 1014.6635747, 2, 12500.5000000, 4.3673, 19.67, 896.89, 15.00, 4.35, 1, 0.0244781, 0.0072198, 0.0256327, -0.0048028
1442255944, 3C454.3, 2015-09-15 00:23:51.161, 317.2688439, 30.9115515, 0.2197869, 0.0000000, -0.3509602, 0.0000000, counts, 12.0099061, 0.0000000, 0.1145074, 0.0000000, 2206.0266605, 0.0000000, 2, 6.1546552, 0.1124799, 1177.3884970, 2, 5.9190460, 0.1174718, 1028.5808638, 2, 12500.5000000, nan, 19.70, 897.17, 15.00, 2.54, 1, 0.0100298, 0.0169200, 0.0408214, 0.0098545
1442255944, 0607-157, 2015-09-15 00:31:41.962, 93.8911749, 25.2971022, 0.3494466, 0.0000000, -0.3979308, 0.0000000, counts, 6.5714593, 0.0000000, 0.1452223, 0.0000000, 2226.4883143, 0.0000000, 2, 3.4557607, 0.1434626, 1187.6773062, 2, 3.3383898, 0.1308696, 1038.7755497, 2, 12500.5000000, 4.1687, 19.26, 897.41, 15.00, 1.51, 0, 0.1283095, -0.0561867, 0.2836385, -0.0371161
1442255944, 0605-085, 2015-09-15 03:15:23.307, 55.7959758, 55.6644339, 0.2830453, 0.0000000, -0.3601950, 0.0000000, counts, 2.2901555, 0.0000000, 0.1270381, 0.0000000, 2163.1642734, 0.0000000, 2, 1.2306873, 0.1286904, 1157.1035192, 2, 1.1488812, 0.1306238, 1005.9749849, 2, 12500.5000000, 2.6065, 18.58, 896.39, 15.00, 3.36, 1, -0.0462468, -0.0135937, 0.0230844, 0.0006197
1442255944, 0607-157, 2015-09-15 03:21:38.649, 64.8203872, 61.1345408, 0.3899161, 0.0000000, -0.3685479, 0.0000000, counts, 3.1588295, 0.0000000, 0.1355021, 0.0000000, 2160.2001251, 0.0000000, 2, 1.6554098, 0.1342087, 1155.7481839, 2, 1.5396321, 0.1392892, 1004.4156296, 2, 12500.5000000, 4.1687, 18.44, 896.57, 15.00, 2.26, 1, -0.0329514, -0.0223861, 0.0579502, -0.0077332
1442255944, 0637-752, 2015-09-15 03:28:56.963, 169.5953729, 42.9093868, 0.4137424, 0.0000000, -0.3655207, 0.0000000, counts, 2.0023402, 0.0000000, 0.1157099, 0.0000000, 2175.4677595, 0.0000000, 3, 1.0111558, 0.1273534, 1163.1882284, 3, 0.9799604, 0.1163891, 1012.2552137, 2, 12500.5000000, 4.1466, 18.43, 896.91, 15.00, 2.12, 1, 0.1012803, -0.0085518, 0.0270744, -0.0047060
1442255944, 0653-033, 2015-09-15 03:42:23.122, 55.7522729, 48.2914321, 0.1325433, 0.0000000, -0.3840224, 0.0000000, counts, 0.4729592, 0.0000000, 0.1246912, 0.0000000, 2166.2492405, 0.0000000, 3, 0.3096771, 0.1742069, 1158.8517187, 0, 0.3249872, 0.1203776, 1007.6085981, 2, 12500.5000000, 1.2475, 18.36, 896.87, 15.00, 2.45, 1, -0.1040493, -0.0382394, -0.0428364, -0.0232077
1442255944, 0723-008, 2015-09-15 03:48:27.968, 58.9944066, 42.3310470, 0.1307849, 0.0000000, -0.3637710, 0.0000000, counts, 3.8896365, 0.0000000, 0.1179744, 0.0000000, 2172.6036222, 0.0000000, 2, 1.9232347, 0.1171631, 1161.7735267, 2, 2.0013557, 0.1203876, 1010.7940485, 2, 12500.5000000, 7.1193, 18.29, 896.85, 15.00, 3.13, 1, -0.0888031, -0.0190263, -0.0246195, -0.0029563
