# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, -0:17:33.3 0 0:01:12.9 0:03:44.3 0:00:09.4 0:00:04.1 0:05:04.1 0:00:58.8, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1442255944, 1057-797, 2015-09-14 18:44:30.275, 188.0937655, 24.0223797, -0.3542825, 0.0000000, 0.0909026, 0.0000000, counts, 1.2640906, 0.0000000, 0.1254451, 0.0000000, 2816.5145519, 0.0000000, 2, 0.7625801, 0.1218121, 1402.6624462, 2, 0.5031886, 0.1784789, 1413.8162837, 2, 12500.5000000, 2.1981, 23.08, 897.59, 15.00, 1.74, 1, -0.0026026, -0.0057428, -0.0034530, 0.0008981
1442255944, 1421-490, 2015-09-14 19:05:30.242, 226.2476394, 25.9901836, -0.3485278, 0.0000000, 0.0931760, 0.0000000, counts, 1.8693270, 0.0000000, 0.1263322, 0.0000000, 2810.2020685, 0.0000000, 2, 1.1201098, 0.1315177, 1397.5681751, 2, 0.8197553, 0.1222361, 1412.5511090, 3, 12500.5000000, 4.0389, 23.54, 898.12, 15.00, 0.89, 1, 0.0036263, -0.0033494, 0.0021090, 0.0024993
1442255944, 1424-418, 2015-09-14 19:11:10.098, 233.4847985, 23.2270695, -0.3489647, 0.0000000, 0.0977901, 0.0000000, counts, 1.9155838, 0.0000000, 0.1288932, 0.0000000, 2825.7549329, 0.0000000, 3, 1.1260869, 0.1302719, 1406.2887425, 3, 0.8019282, 0.1339272, 1419.5065966, 3, 12500.5000000, 7.6519, 23.80, 898.39, 15.00, 0.24, 1, 0.0030682, 0.0007774, 0.0021364, 0.0068960
1442255944, 1622-253, 2015-09-14 19:38:23.907, 258.7879720, 35.0880274, -0.3492540, 0.0000000, 0.0879185, 0.0000000, counts, 1.0627678, 0.0000000, 0.1235317, 0.0000000, 2798.8499461, 0.0000000, 2, 0.9639399, 0.0598578, 1388.1837988, 0, 0.4680355, 0.0879993, 1410.5258695, 3, 12500.5000000, 1.7979, 22.44, 898.37, 15.00, 0.17, 1, 0.0056383, -0.0082939, 0.0025104, -0.0038777
1442255944, 1718-649, 2015-09-14 20:05:35.717, 207.8206086, 42.1936019, -0.3531108, 0.0000000, 0.0953325, 0.0000000, counts, 1.3260544, 0.0000000, 0.1173274, 0.0000000, 2794.4466063, 0.0000000, 3, 0.7972968, 0.1298919, 1379.3337681, 3, 0.6262496, 0.1075074, 1415.1681583, 3, 12500.5000000, 3.4802, 21.78, 898.44, 15.00, 2.20, 1, 0.0040033, 0.0016001, 0.0014500, 0.0050901
1442255944, 1741-038, 2015-09-14 20:27:14.168, 285.6912675, 31.3293266, -0.3537986, 0.0000000, 0.0915934, 0.0000000, counts, 1.7681242, 0.0000000, 0.1201676, 0.0000000, 2832.0373549, 0.0000000, 3, 1.1189715, 0.1185120, 1403.0752131, 2, 0.6662546, 0.1201229, 1428.9963256, 3, 12500.5000000, 3.8687, 21.85, 898.25, 15.00, 2.14, 1, 0.0009540, -0.0064404, -0.0020651, -0.0012498
1442255944, 1749+096, 2015-09-14 20:33:16.514, 298.0862303, 23.5036089, -0.3542955, 0.0000000, 0.0992851, 0.0000000, counts, 2.9418136, 0.0000000, 0.1239989, 0.0000000, 2871.0566645, 0.0000000, 3, 1.8057836, 0.1256537, 1425.0428795, 3, 1.1648226, 0.1260639, 1445.8498269, 3, 12500.5000000, 2.7947, 21.83, 898.22, 15.00, 1.96, 1, -0.0012300, -0.0003899, -0.0027273, 0.0059907
1442255944, 1824-582, 2015-09-14 20:40:08.340, 215.2301481, 47.8541558, -0.3624195, 0.0000000, 0.0908182, 0.0000000, counts, 0.8646239, 0.0000000, 0.1250846, 0.0000000, 2800.6809471, 0.0000000, 3, 0.4451182, 0.1449736, 1382.3059184, 3, 0.4826214, 0.1193565, 1418.4499382, 3, 12500.5000000, 1.2627, 22.73, 898.10, 15.00, 1.82, 1, 0.0008570, -0.0018242, -0.0011750, 0.0004237
1442255944, 1830-210, 2015-09-14 20:46:45.672, 270.8781718, 46.1157529, -0.3636389, 0.0000000, 0.0841340, 0.0000000, counts, 5.3740620, 0.0000000, 0.1166443, 0.0000000, 2813.0831988, 0.0000000, 2, 3.0999240, 0.1183744, 1388.6120298, 2, 2.3025073, 0.1145987, 1424.4597125, 2, 12500.5000000, 4.6283, 22.67, 898.51, 15.00, 0.70, 1, 0.0003489, -0.0105618, -0.0027157, -0.0081347
1442255944, 1908-201, 2015-09-14 20:52:33.525, 276.8096446, 52.5155118, -0.3734005, 0.0000000, 0.0895537, 0.0000000, counts, 1.1740057, 0.0000000, 0.1343318, 0.0000000, 2803.6346897, 0.0000000, 3, 0.7573600, 0.1332156, 1382.6796048, 3, 0.4559651, 0.1723004, 1420.8849118, 2, 12500.5000000, 2.3588, 21.74, 898.64, 15.00, 0.38, 1, -0.0007797, -0.0040369, -0.0028895, -0.0029475
1442255944, 0238-084, 2015-09-14 21:13:25.495, 85.3639911, 23.8059854, -0.3481344, 0.0000000, 0.0816525, 0.0000000, counts, 0.9754884, 0.0000000, 0.1247124, 0.0000000, 2878.5760441, 0.0000000, 3, 0.4293903, 0.1781676, 1427.1356751, 3, 0.5100976, 0.1391308, 1451.4932075, 3, 12500.5000000, 1.6295, 21.87, 898.80, 15.00, 1.48, 1, 0.0022938, -0.0191096, 0.0011667, -0.0107637
1442255944, 1921-293, 2015-09-14 21:21:54.780, 260.7738358, 52.1293826, -0.3701391, 0.0000000, 0.0981394, 0.0000000, counts, 5.3151037, 0.0000000, 0.1340686, 0.0000000, 2801.8842185, 0.0000000, 3, 3.4030136, 0.1185482, 1380.9604301, 2, 2.1522765, 0.1335906, 1420.8970060, 3, 12500.5000000, 11.4695, 20.18, 898.88, 15.00, 2.35, 1, 0.0006007, 0.0051833, -0.0013384, 0.0062663
1442255944, 1954-388, 2015-09-14 21:27:42.633, 245.0083112, 58.6985634, -0.3845073, 0.0000000, 0.0899138, 0.0000000, counts, 1.4548870, 0.0000000, 0.1196674, 0.0000000, 2797.6355948, 0.0000000, 3, 0.9338751, 0.1188068, 1378.1212603, 3, 0.5608135, 0.1316054, 1419.4810269, 3, 12500.5000000, 2.3152, 20.31, 899.02, 15.00, 1.98, 1, -0.0011442, -0.0009088, -0.0010637, -0.0013689
1442255944, 2203-188, 2015-09-15 00:00:50.246, 276.8519099, 48.8923748, -0.3748321, 0.0000000, 0.0954114, 0.0000000, counts, 2.3435893, 0.0000000, 0.1206646, 0.0000000, 2954.1155614, 0.0000000, 2, 1.3255770, 0.1096080, 1436.4697725, 2, 1.3080529, 0.1198913, 1517.5809558, 2, 12500.5000000, 3.3357, 19.87, 896.71, 15.00, 5.79, 1, -0.0049731, 0.0010197, -0.0077541, 0.0029086
