# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, 0:48:12.7 0 0:01:31.4 0:02:59.6 0:00:02.5 -0:00:14.1 -0:04:36.4 -0:01:57.1, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1440226443, For A, 2015-08-22 06:59:15.907, 247.5930187, 51.9171752, 0.7836980, 0.0000000, -0.1081586, 0.0000000, K, 0.4817206, 0.0000000, 1.2115254, 0.0000000, 1.3011458, 0.0000000, 5, 0.2301348, 1.2097750, 0.6193104, 5, 0.2518489, 1.2182769, 0.6811160, 5, 1279.9159921, 125.0259, 17.84, 899.47, 15.00, 4.66, 1, 0.0193543, -0.0146739, 0.0340571, -0.0177031
1440226443, 3C 123, 2015-08-22 07:05:48.741, 332.9486087, 23.7423494, 0.7578136, 0.0000000, -0.0993373, 0.0000000, K, 0.1906550, 0.0000000, 1.1392769, 0.0000000, 1.5141923, 0.0000000, 5, 0.0955930, 1.1266368, 0.7216093, 5, 0.0967474, 1.1785591, 0.7907602, 5, 1279.9159921, 51.3493, 17.76, 899.47, 15.00, 4.79, 1, -0.0034557, 0.0048155, -0.0134963, -0.0110056
1440226443, Pic A, 2015-08-22 07:17:59.431, 221.6171672, 67.7381150, 0.6121643, 0.0000000, -0.0759101, 0.0000000, K, 0.2729924, 0.0000000, 1.1042455, 0.0000000, 1.3098975, 0.0000000, 0, 0.1354203, 1.1108322, 0.6268506, 0, 0.1376524, 1.0979923, 0.6829741, 0, 1279.9159921, 73.6378, 18.12, 899.55, 15.00, 5.06, 1, -0.0429671, 0.0111084, -0.0172067, -0.0136913
1440226443, Tau A, 2015-08-22 07:27:56.679, 337.7194685, 33.9344892, 0.7710801, 0.0000000, -0.0865321, 0.0000000, K, 3.1681174, 0.0000000, 1.1229411, 0.0000000, 1.4871743, 0.0000000, 5, 1.6228466, 1.1141084, 0.7108417, 5, 1.5487276, 1.1336467, 0.7731799, 5, 1279.9159921, 970.0028, 18.46, 899.46, 15.00, 5.35, 1, 0.0069184, 0.0151056, -0.0023528, -0.0197878
1440226443, Ori A, 2015-08-22 07:33:47.031, 317.6222652, 57.7891084, 0.7235644, 0.0000000, -0.0656431, 0.0000000, K, 1.5230821, 0.0000000, 1.1313860, 0.0000000, 1.3716895, 0.0000000, 5, 0.7699364, 1.1257952, 0.6538007, 5, 0.7524697, 1.1401831, 0.7177504, 5, 1279.9159921, 353.9826, 18.54, 899.40, 15.00, 6.18, 1, -0.0162679, 0.0253203, 0.0040994, -0.0044034
1440226443, Hyd A, 2015-08-22 07:40:52.850, 65.6795089, 54.5311177, 0.7520362, 0.0000000, -0.1045032, 0.0000000, K, 0.1825107, 0.0000000, 1.1354591, 0.0000000, 1.3215995, 0.0000000, 5, 0.0916605, 1.1352873, 0.6298010, 5, 0.0911306, 1.1390838, 0.6915905, 5, 1279.9159921, 47.1593, 18.80, 899.41, 15.00, 5.68, 1, -0.0024962, -0.0055677, -0.0099816, -0.0163178
1440226443, PKS 0408-65, 2015-08-22 07:49:54.621, 205.2033757, 44.9654631, 0.7476673, 0.0000000, -0.0834222, 0.0000000, K, 0.0649501, 0.0000000, 1.1559535, 0.0000000, 1.3182795, 0.0000000, 5, 0.0339713, 1.1320471, 0.6271761, 5, 0.0316711, 1.1716864, 0.6901271, 5, 1279.9159921, 14.7508, 19.13, 899.23, 15.00, 6.07, 1, -0.0048627, 0.0153305, 0.0040167, 0.0060192
1440226443, PKS 0410-75, 2015-08-22 07:54:53.495, 194.5191157, 39.8779617, 0.6745697, 0.0000000, -0.1099774, 0.0000000, K, 0.0606980, 0.0000000, 1.1944242, 0.0000000, 1.3453061, 0.0000000, 5, 0.0298484, 1.1800255, 0.6414010, 5, 0.0308730, 1.2156161, 0.7038920, 5, 1279.9159921, 15.6595, 19.26, 899.08, 15.00, 6.29, 0, -0.0628106, -0.0085471, -0.0511742, -0.0253344
1440226443, PKS 0521-36, 2015-08-22 08:00:54.342, 249.1123806, 63.6043655, 0.6595184, 0.0000000, -0.0395233, 0.0000000, K, 0.0718144, 0.0000000, 1.1008266, 0.0000000, 1.3230436, 0.0000000, 5, 0.0350016, 1.1698559, 0.6322475, 5, 0.0371959, 1.0463487, 0.6957213, 5, 1279.9159921, 16.7802, 19.43, 898.91, 15.00, 6.33, 1, -0.0350429, 0.0483036, -0.0077771, 0.0227642
1440226443, 3C 161, 2015-08-22 08:11:59.561, 322.5133910, 60.0870258, 0.6821328, 0.0000000, -0.0370491, 0.0000000, K, 0.0796201, 0.0000000, 1.1710420, 0.0000000, 1.3993888, 0.0000000, 5, 0.0400838, 1.1408847, 0.6654659, 5, 0.0401734, 1.2084172, 0.7333032, 5, 1279.9159921, 19.9912, 19.47, 898.93, 15.00, 6.64, 1, -0.0349830, 0.0530151, -0.0135717, 0.0161795
1440226443, For A, 2015-08-22 08:18:24.398, 244.1780061, 36.3352745, 0.7866286, 0.0000000, -0.1405434, 0.0000000, K, 0.4785665, 0.0000000, 1.2055139, 0.0000000, 1.3586305, 0.0000000, 5, 0.2332775, 1.2040167, 0.6478579, 5, 0.2466131, 1.2043005, 0.7094489, 5, 1279.9159921, 125.0259, 19.55, 898.89, 15.00, 6.52, 0, 0.0226136, -0.0407855, 0.0266346, -0.0552805
1440226443, Pic A, 2015-08-22 08:22:36.291, 231.8539406, 57.4545747, 0.6867214, 0.0000000, -0.0962564, 0.0000000, K, 0.2700832, 0.0000000, 1.1589574, 0.0000000, 1.3119893, 0.0000000, 5, 0.1348662, 1.1610090, 0.6246285, 5, 0.1352846, 1.1631817, 0.6872389, 5, 1279.9159921, 73.6378, 19.58, 898.89, 15.00, 6.71, 1, -0.0318515, -0.0046310, -0.0150181, -0.0168610
1440226443, Tau A, 2015-08-22 08:29:24.119, 322.9700301, 27.3604999, 0.7704612, 0.0000000, -0.0820252, 0.0000000, K, 3.1644278, 0.0000000, 1.1232679, 0.0000000, 1.5324692, 0.0000000, 5, 1.6201621, 1.1158000, 0.7332745, 5, 1.5461160, 1.1312733, 0.7971269, 5, 1279.9159921, 970.0028, 20.04, 898.98, 15.00, 5.72, 1, 0.0076082, 0.0207284, 0.0029964, 0.0011676
1440226443, Ori A, 2015-08-22 08:35:06.974, 298.9751658, 47.3668980, 0.7441781, 0.0000000, -0.0731883, 0.0000000, K, 1.5073494, 0.0000000, 1.1356001, 0.0000000, 1.3851945, 0.0000000, 5, 0.7654729, 1.1254973, 0.6587481, 5, 0.7434485, 1.1445408, 0.7260047, 5, 1279.9159921, 353.9826, 20.40, 898.93, 15.00, 5.68, 1, -0.0099364, 0.0218578, 0.0047474, 0.0071838
1440226443, PKS 0408-65, 2015-08-22 08:51:19.562, 207.9966226, 39.0011922, 0.7409951, 0.0000000, -0.0990836, 0.0000000, K, 0.0638489, 0.0000000, 1.1530806, 0.0000000, 1.3545758, 0.0000000, 5, 0.0318988, 1.1496517, 0.6443060, 5, 0.0321873, 1.1578489, 0.7099656, 5, 1279.9159921, 14.7508, 20.21, 898.90, 15.00, 6.88, 1, -0.0123039, 0.0017472, -0.0054862, -0.0144850
1440226443, PKS 0410-75, 2015-08-22 08:56:18.936, 196.6496293, 36.2990641, 0.7376282, 0.0000000, -0.0766366, 0.0000000, K, 0.0566517, 0.0000000, 1.1652620, 0.0000000, 1.3744351, 0.0000000, 5, 0.0284204, 1.1876906, 0.6564012, 5, 0.0289189, 1.1550879, 0.7174434, 5, 1279.9159921, 15.6595, 20.10, 898.82, 15.00, 6.04, 1, -0.0159131, 0.0258997, -0.0050498, 0.0077144
